task,cls,scene,idx,n_tokens,n_chars,n_sentences,ttr,mean_word_len,comma_rate,semicolon_rate,quote_present,dash_present,digit_rate,within_scene_4gram,opener_article,opener_pronoun,opener_quote,opener_question,opener_prep_adv,opener_other
tank,aquarium,home_hobbyist,0,16,85,1,0.9375,4.3125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tank,aquarium,home_hobbyist,1,15,90,1,0.9333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,home_hobbyist,2,13,71,1,0.9230769230769231,4.461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tank,aquarium,home_hobbyist,3,17,89,1,0.9411764705882353,4.176470588235294,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,4,14,92,1,0.9285714285714286,5.5,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,home_hobbyist,5,16,97,1,1.0,4.647058823529412,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,6,17,106,1,0.8823529411764706,5.0,0.11764705882352941,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,7,19,113,1,0.8947368421052632,4.842105263157895,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,home_hobbyist,8,14,88,1,1.0,5.384615384615385,0.14285714285714285,0.0,0.0,0.0,0.022727272727272728,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tank,aquarium,home_hobbyist,9,16,117,1,0.9375,6.25,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,10,15,87,2,0.8666666666666667,4.533333333333333,0.06666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tank,aquarium,home_hobbyist,11,16,86,1,0.9375,4.3125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,12,14,81,1,0.9285714285714286,4.785714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,13,13,75,1,0.8571428571428571,4.357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,home_hobbyist,14,14,74,1,0.9230769230769231,4.538461538461538,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,15,18,95,1,0.8888888888888888,4.277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,16,17,104,1,0.9411764705882353,5.0588235294117645,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,17,16,92,1,0.9375,4.6875,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,18,15,87,1,1.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,19,17,87,1,0.9411764705882353,4.117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,home_hobbyist,20,16,98,1,0.9375,5.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,21,18,105,1,0.9411764705882353,4.882352941176471,0.1111111111111111,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,home_hobbyist,22,18,110,1,1.0,4.944444444444445,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,home_hobbyist,23,17,91,1,0.9411764705882353,4.294117647058823,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tank,aquarium,home_hobbyist,24,20,127,1,0.85,5.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,shop_retail,25,17,104,1,0.9411764705882353,5.0588235294117645,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,26,20,103,1,0.8947368421052632,4.105263157894737,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tank,aquarium,shop_retail,27,19,128,1,0.9523809523809523,5.0476190476190474,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,28,14,69,1,1.0,3.9285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tank,aquarium,shop_retail,29,18,112,1,0.9473684210526315,4.842105263157895,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,30,20,117,1,1.0,4.75,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,shop_retail,31,14,84,1,1.0,4.857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,32,16,93,1,1.0,4.470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,33,19,108,1,0.8947368421052632,4.631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,34,21,111,1,1.0,4.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,35,19,115,1,1.0,5.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,36,13,96,1,1.0,6.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,37,15,109,1,0.9333333333333333,6.2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,38,18,87,1,0.9411764705882353,3.823529411764706,0.05555555555555555,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
tank,aquarium,shop_retail,39,19,100,1,0.8421052631578947,4.2105263157894735,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,shop_retail,40,16,97,1,0.9375,5.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,41,13,85,1,1.0,5.461538461538462,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
tank,aquarium,shop_retail,42,18,110,1,0.8333333333333334,5.055555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,shop_retail,43,18,117,1,1.0,5.444444444444445,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,44,22,120,1,0.9130434782608695,4.130434782608695,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,45,20,105,1,0.9,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
tank,aquarium,shop_retail,46,23,119,1,0.8695652173913043,4.130434782608695,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,47,16,90,1,0.9375,4.5625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tank,aquarium,shop_retail,48,20,123,1,1.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
tank,aquarium,shop_retail,49,15,88,2,1.0,4.6,0.06666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
