run,fam,dest,frac_ahead,mean_lead,class,dBIC,gamma,step_c,resid_gap,largest_over_net,largest_over_path,y20,null20
fr_s1_ar_d3_fam00_fr,fam00,+,1.0,0.6021421652843137,step,2.3,0.885,3.0,0.466,0.761,0.136,0.133,0.0
fr_s1_ar_d3_fam00_rf,fam00,-,0.9,0.4654486697723049,hybrid,3.2,0.915,12.0,0.221,0.672,0.104,0.064,0.0
fr_s1_ar_d3_fam01_fr,fam01,+,0.9,0.5718899798204082,hybrid,14.6,0.88,3.0,0.2,0.717,0.371,0.705,0.0
fr_s1_ar_d3_fam01_rf,fam01,-,0.9,0.5038903754760403,indeterminate,0.8,0.91,4.0,0.105,0.374,0.119,0.923,0.0
fr_s1_ar_d3_fam02_fr,fam02,+,0.6,0.06863879231707053,hybrid,2.4,0.985,5.0,0.97,0.582,0.136,0.053,0.0
fr_s1_ar_d3_fam02_rf,fam02,-,1.0,1.6696111452390334,step,2.9,0.63,7.0,-0.968,0.489,0.154,1.844,0.0
fr_s1_ar_d3_fam03_fr,fam03,+,0.9,0.4692666989375729,indeterminate,1.6,0.92,3.0,0.47,0.503,0.149,0.368,0.0
fr_s1_ar_d3_fam03_rf,fam03,-,1.0,1.4483195823241848,indeterminate,1.5,0.3,5.0,-0.277,1.984,0.147,0.855,0.0
fr_s1_ar_d3_fam04_fr,fam04,+,1.0,0.6011454802562375,hybrid,8.0,0.885,3.0,0.298,0.693,0.168,0.49,0.0
fr_s1_ar_d3_fam04_rf,fam04,-,0.95,0.2374982070733686,indeterminate,0.9,0.965,11.0,0.73,0.807,0.206,0.15,0.0
fr_s1_ar_d3_fam05_fr,fam05,+,0.9,0.3512946885635038,hybrid,13.3,0.93,3.0,0.333,0.347,0.206,0.485,0.0
fr_s1_ar_d3_fam05_rf,fam05,-,1.0,0.7269913059283872,indeterminate,0.7,0.8,4.0,0.591,0.715,0.153,0.365,0.0
fr_s1_ar_d3_fam06_fr,fam06,+,1.0,1.0335796636153836,integrator,9.1,0.565,,0.001,0.595,0.14,0.741,0.0
fr_s1_ar_d3_fam06_rf,fam06,-,1.0,0.36067409632698494,hybrid,4.9,0.945,8.0,0.568,0.498,0.121,0.232,0.0
