run,fam,dest,frac_ahead,mean_lead,class,dBIC,gamma,step_c,resid_gap,largest_over_net,largest_over_path,y20,null20
tank_d3_fam00_ab,fam00,+,0.9,0.7310342306889449,indeterminate,1.9,0.955,6.0,2.085,0.839,0.136,0.525,0.0
tank_d3_fam00_ba,fam00,-,0.8,0.2831413971878444,hybrid,2.9,0.98,13.0,1.794,1.11,0.267,0.233,0.0
tank_d3_fam01_ab,fam01,+,0.0,-0.5418622215591515,hybrid,8.3,1.04,5.0,3.016,0.312,0.156,-0.719,0.0
tank_d3_fam01_ba,fam01,-,1.0,1.9463577861584578,hybrid,3.1,0.79,7.0,0.118,0.341,0.138,2.083,0.0
tank_d3_fam02_ab,fam02,+,0.9,0.4425808212406789,indeterminate,0.1,0.975,5.0,2.095,0.513,0.149,0.205,0.0
tank_d3_fam02_ba,fam02,-,0.9,0.6358413624264155,hybrid,4.5,0.955,11.0,1.145,0.67,0.175,0.767,0.0
tank_d3_fam03_ab,fam03,+,0.55,0.13565668600274677,step,2.3,0.99,8.0,2.413,0.589,0.147,-0.351,0.0
tank_d3_fam03_ba,fam03,-,1.0,1.0195589947201167,integrator,9.5,0.92,,1.172,0.447,0.153,0.434,0.0
tank_d3_fam04_ab,fam04,+,0.7,0.11055308456195942,hybrid,11.7,0.995,9.0,2.461,1.372,0.208,-0.691,0.0
tank_d3_fam04_ba,fam04,-,0.9,0.9622793773807441,indeterminate,0.8,0.925,4.0,1.465,0.338,0.123,0.641,0.0
tank_d3_fam05_ab,fam05,+,1.0,0.6447863931454574,indeterminate,1.9,0.955,11.0,1.324,0.546,0.192,0.823,0.0
tank_d3_fam05_ba,fam05,-,0.85,0.6951717192925368,indeterminate,1.2,0.945,8.0,1.874,0.714,0.231,0.101,0.0
tank_d3_fam06_ab,fam06,+,1.0,1.2205871897436533,hybrid,3.6,0.895,7.0,1.432,0.815,0.219,1.01,0.0
tank_d3_fam06_ba,fam06,-,0.8,0.31492135586811654,integrator,4.8,0.975,,1.604,0.561,0.16,0.165,0.0
tank_d3_fam07_ab,fam07,+,0.25,-0.21468681901098735,hybrid,7.7,1.015,8.0,2.623,0.27,0.092,-0.845,0.0
tank_d3_fam07_ba,fam07,-,1.0,1.408181183660761,hybrid,7.9,0.885,14.0,0.058,0.317,0.204,2.212,0.0
tank_d3_fam08_ab,fam08,+,0.8,0.262813477093712,step,2.8,0.98,9.0,2.304,0.7,0.184,-0.14,0.0
tank_d3_fam08_ba,fam08,-,0.9,0.4338147411741172,hybrid,8.5,0.97,17.0,1.6,0.311,0.121,0.856,0.0
tank_d3_fam09_ab,fam09,+,0.35,-0.04036945247428066,indeterminate,0.2,1.005,13.0,2.175,0.358,0.146,0.326,0.0
tank_d3_fam09_ba,fam09,-,1.0,1.078017176749543,hybrid,6.5,0.925,9.0,1.103,0.397,0.136,1.25,0.0
tank_d3_fam10_ab,fam10,+,0.95,0.5430560501910603,integrator,11.6,0.96,,1.369,0.236,0.144,0.789,0.0
tank_d3_fam10_ba,fam10,-,0.7,0.5380148145057118,indeterminate,0.3,0.96,4.0,0.937,0.514,0.236,1.284,0.0
tank_d3_fam11_ab,fam11,+,0.6,0.08287689692004077,hybrid,2.5,1.0,4.0,2.679,0.475,0.161,-0.139,0.0
tank_d3_fam11_ba,fam11,-,0.85,1.177334278324977,indeterminate,1.4,0.9,6.0,0.88,0.25,0.159,0.95,0.0
