probe,dir,layer,cross_k
tank,_ab,0,2.0
tank,_ab,1,5.0
tank,_ab,2,5.0
tank,_ab,3,13.0
tank,_ab,4,13.0
tank,_ab,5,13.0
tank,_ab,6,11.0
tank,_ab,7,11.0
tank,_ab,8,13.0
tank,_ab,9,13.0
tank,_ab,10,13.0
tank,_ab,11,13.0
tank,_ab,12,13.0
tank,_ab,13,13.0
tank,_ab,14,13.0
tank,_ab,15,13.0
tank,_ab,16,13.0
tank,_ab,17,13.0
tank,_ab,18,13.0
tank,_ab,19,
tank,_ab,20,13.0
tank,_ab,21,
tank,_ab,22,
tank,_ab,23,16.0
tank,_ba,0,2.0
tank,_ba,1,4.0
tank,_ba,2,4.0
tank,_ba,3,12.0
tank,_ba,4,8.0
tank,_ba,5,10.0
tank,_ba,6,10.0
tank,_ba,7,10.0
tank,_ba,8,10.0
tank,_ba,9,12.0
tank,_ba,10,12.0
tank,_ba,11,10.0
tank,_ba,12,10.0
tank,_ba,13,10.0
tank,_ba,14,9.0
tank,_ba,15,6.0
tank,_ba,16,6.0
tank,_ba,17,9.0
tank,_ba,18,6.0
tank,_ba,19,6.0
tank,_ba,20,6.0
tank,_ba,21,6.0
tank,_ba,22,6.0
tank,_ba,23,6.0
fr,_fr,0,1.0
fr,_fr,1,1.0
fr,_fr,2,1.0
fr,_fr,3,3.0
fr,_fr,4,3.0
fr,_fr,5,5.0
fr,_fr,6,5.0
fr,_fr,7,9.0
fr,_fr,8,9.0
fr,_fr,9,9.0
fr,_fr,10,8.0
fr,_fr,11,8.0
fr,_fr,12,7.0
fr,_fr,13,5.0
fr,_fr,14,8.0
fr,_fr,15,7.0
fr,_fr,16,7.0
fr,_fr,17,8.0
fr,_fr,18,8.0
fr,_fr,19,8.0
fr,_fr,20,8.0
fr,_fr,21,14.0
fr,_fr,22,
fr,_fr,23,
fr,_rf,0,1.0
fr,_rf,1,2.0
fr,_rf,2,2.0
fr,_rf,3,4.0
fr,_rf,4,6.0
fr,_rf,5,8.0
fr,_rf,6,8.0
fr,_rf,7,13.0
fr,_rf,8,13.0
fr,_rf,9,13.0
fr,_rf,10,9.0
fr,_rf,11,9.0
fr,_rf,12,8.0
fr,_rf,13,8.0
fr,_rf,14,7.0
fr,_rf,15,6.0
fr,_rf,16,7.0
fr,_rf,17,7.0
fr,_rf,18,8.0
fr,_rf,19,8.0
fr,_rf,20,8.0
fr,_rf,21,7.0
fr,_rf,22,6.0
fr,_rf,23,7.0
