probe,run,k,score,is_jump
fr_L14,fr_s1_ar_d3_fam00_fr,1,1.101,False
fr_L14,fr_s1_ar_d3_fam00_fr,2,1.01,True
fr_L14,fr_s1_ar_d3_fam00_fr,3,0.987,False
fr_L14,fr_s1_ar_d3_fam00_fr,4,0.891,False
fr_L14,fr_s1_ar_d3_fam00_fr,5,0.862,False
fr_L14,fr_s1_ar_d3_fam00_fr,6,0.97,False
fr_L14,fr_s1_ar_d3_fam00_fr,7,0.867,False
fr_L14,fr_s1_ar_d3_fam00_fr,8,0.871,False
fr_L14,fr_s1_ar_d3_fam00_fr,9,0.861,False
fr_L14,fr_s1_ar_d3_fam00_fr,10,0.831,False
fr_L14,fr_s1_ar_d3_fam00_fr,11,0.818,False
fr_L14,fr_s1_ar_d3_fam00_fr,12,0.828,False
fr_L14,fr_s1_ar_d3_fam00_fr,13,0.872,False
fr_L14,fr_s1_ar_d3_fam00_fr,14,0.762,False
fr_L14,fr_s1_ar_d3_fam00_fr,15,0.824,False
fr_L14,fr_s1_ar_d3_fam00_fr,16,0.846,False
fr_L14,fr_s1_ar_d3_fam00_fr,17,0.858,False
fr_L14,fr_s1_ar_d3_fam00_fr,18,0.804,False
fr_L14,fr_s1_ar_d3_fam00_fr,19,0.799,False
fr_L14,fr_s1_ar_d3_fam00_fr,20,0.941,False
fr_L14,fr_s1_ar_d3_fam00_rf,1,0.949,False
fr_L14,fr_s1_ar_d3_fam00_rf,2,0.98,False
fr_L14,fr_s1_ar_d3_fam00_rf,3,0.926,False
fr_L14,fr_s1_ar_d3_fam00_rf,4,1.035,False
fr_L14,fr_s1_ar_d3_fam00_rf,5,1.004,False
fr_L14,fr_s1_ar_d3_fam00_rf,6,1.0,False
fr_L14,fr_s1_ar_d3_fam00_rf,7,1.104,False
fr_L14,fr_s1_ar_d3_fam00_rf,8,1.075,False
fr_L14,fr_s1_ar_d3_fam00_rf,9,1.042,False
fr_L14,fr_s1_ar_d3_fam00_rf,10,1.041,False
fr_L14,fr_s1_ar_d3_fam00_rf,11,1.015,False
fr_L14,fr_s1_ar_d3_fam00_rf,12,1.117,False
fr_L14,fr_s1_ar_d3_fam00_rf,13,1.172,False
fr_L14,fr_s1_ar_d3_fam00_rf,14,1.158,False
fr_L14,fr_s1_ar_d3_fam00_rf,15,1.071,False
fr_L14,fr_s1_ar_d3_fam00_rf,16,1.2,True
fr_L14,fr_s1_ar_d3_fam00_rf,17,1.129,False
fr_L14,fr_s1_ar_d3_fam00_rf,18,1.187,False
fr_L14,fr_s1_ar_d3_fam00_rf,19,1.121,False
fr_L14,fr_s1_ar_d3_fam00_rf,20,1.046,False
fr_L14,fr_s1_ar_d3_fam01_fr,1,1.139,False
fr_L14,fr_s1_ar_d3_fam01_fr,2,1.254,False
fr_L14,fr_s1_ar_d3_fam01_fr,3,1.305,True
fr_L14,fr_s1_ar_d3_fam01_fr,4,1.068,False
fr_L14,fr_s1_ar_d3_fam01_fr,5,1.056,False
fr_L14,fr_s1_ar_d3_fam01_fr,6,1.116,False
fr_L14,fr_s1_ar_d3_fam01_fr,7,1.1,False
fr_L14,fr_s1_ar_d3_fam01_fr,8,1.017,False
fr_L14,fr_s1_ar_d3_fam01_fr,9,0.993,False
fr_L14,fr_s1_ar_d3_fam01_fr,10,0.929,False
fr_L14,fr_s1_ar_d3_fam01_fr,11,0.937,False
fr_L14,fr_s1_ar_d3_fam01_fr,12,0.976,False
fr_L14,fr_s1_ar_d3_fam01_fr,13,1.03,False
fr_L14,fr_s1_ar_d3_fam01_fr,14,1.066,False
fr_L14,fr_s1_ar_d3_fam01_fr,15,1.121,False
fr_L14,fr_s1_ar_d3_fam01_fr,16,1.103,False
fr_L14,fr_s1_ar_d3_fam01_fr,17,1.002,False
fr_L14,fr_s1_ar_d3_fam01_fr,18,0.955,False
fr_L14,fr_s1_ar_d3_fam01_fr,19,0.921,False
fr_L14,fr_s1_ar_d3_fam01_fr,20,0.874,False
fr_L14,fr_s1_ar_d3_fam01_rf,1,0.996,False
fr_L14,fr_s1_ar_d3_fam01_rf,2,0.952,False
fr_L14,fr_s1_ar_d3_fam01_rf,3,1.021,False
fr_L14,fr_s1_ar_d3_fam01_rf,4,0.984,False
fr_L14,fr_s1_ar_d3_fam01_rf,5,0.965,False
fr_L14,fr_s1_ar_d3_fam01_rf,6,0.984,False
fr_L14,fr_s1_ar_d3_fam01_rf,7,0.985,False
fr_L14,fr_s1_ar_d3_fam01_rf,8,0.991,False
fr_L14,fr_s1_ar_d3_fam01_rf,9,1.03,False
fr_L14,fr_s1_ar_d3_fam01_rf,10,0.92,False
fr_L14,fr_s1_ar_d3_fam01_rf,11,0.937,False
fr_L14,fr_s1_ar_d3_fam01_rf,12,0.976,False
fr_L14,fr_s1_ar_d3_fam01_rf,13,0.915,False
fr_L14,fr_s1_ar_d3_fam01_rf,14,0.912,False
fr_L14,fr_s1_ar_d3_fam01_rf,15,0.923,False
fr_L14,fr_s1_ar_d3_fam01_rf,16,1.064,False
fr_L14,fr_s1_ar_d3_fam01_rf,17,0.992,False
fr_L14,fr_s1_ar_d3_fam01_rf,18,1.251,True
fr_L14,fr_s1_ar_d3_fam01_rf,19,1.129,False
fr_L14,fr_s1_ar_d3_fam01_rf,20,1.064,False
fr_L14,fr_s1_ar_d3_fam02_fr,1,1.379,False
fr_L14,fr_s1_ar_d3_fam02_fr,2,1.32,False
fr_L14,fr_s1_ar_d3_fam02_fr,3,1.37,False
fr_L14,fr_s1_ar_d3_fam02_fr,4,1.316,False
fr_L14,fr_s1_ar_d3_fam02_fr,5,1.179,False
fr_L14,fr_s1_ar_d3_fam02_fr,6,1.124,False
fr_L14,fr_s1_ar_d3_fam02_fr,7,1.16,False
fr_L14,fr_s1_ar_d3_fam02_fr,8,1.155,False
fr_L14,fr_s1_ar_d3_fam02_fr,9,1.126,False
fr_L14,fr_s1_ar_d3_fam02_fr,10,1.034,False
fr_L14,fr_s1_ar_d3_fam02_fr,11,1.011,False
fr_L14,fr_s1_ar_d3_fam02_fr,12,0.998,False
fr_L14,fr_s1_ar_d3_fam02_fr,13,1.032,False
fr_L14,fr_s1_ar_d3_fam02_fr,14,1.088,True
fr_L14,fr_s1_ar_d3_fam02_fr,15,0.93,False
fr_L14,fr_s1_ar_d3_fam02_fr,16,0.978,False
fr_L14,fr_s1_ar_d3_fam02_fr,17,1.077,False
fr_L14,fr_s1_ar_d3_fam02_fr,18,1.106,False
fr_L14,fr_s1_ar_d3_fam02_fr,19,1.063,False
fr_L14,fr_s1_ar_d3_fam02_fr,20,1.035,False
fr_L14,fr_s1_ar_d3_fam02_rf,1,0.988,False
fr_L14,fr_s1_ar_d3_fam02_rf,2,0.932,False
fr_L14,fr_s1_ar_d3_fam02_rf,3,0.911,False
fr_L14,fr_s1_ar_d3_fam02_rf,4,1.028,False
fr_L14,fr_s1_ar_d3_fam02_rf,5,0.961,False
fr_L14,fr_s1_ar_d3_fam02_rf,6,1.023,False
fr_L14,fr_s1_ar_d3_fam02_rf,7,1.041,False
fr_L14,fr_s1_ar_d3_fam02_rf,8,1.253,False
fr_L14,fr_s1_ar_d3_fam02_rf,9,1.403,False
fr_L14,fr_s1_ar_d3_fam02_rf,10,1.256,False
fr_L14,fr_s1_ar_d3_fam02_rf,11,1.237,False
fr_L14,fr_s1_ar_d3_fam02_rf,12,1.194,False
fr_L14,fr_s1_ar_d3_fam02_rf,13,1.123,False
fr_L14,fr_s1_ar_d3_fam02_rf,14,1.292,False
fr_L14,fr_s1_ar_d3_fam02_rf,15,1.063,False
fr_L14,fr_s1_ar_d3_fam02_rf,16,1.222,False
fr_L14,fr_s1_ar_d3_fam02_rf,17,1.129,False
fr_L14,fr_s1_ar_d3_fam02_rf,18,1.208,False
fr_L14,fr_s1_ar_d3_fam02_rf,19,1.344,True
fr_L14,fr_s1_ar_d3_fam02_rf,20,1.166,False
fr_L14,fr_s1_ar_d3_fam03_fr,1,1.348,False
fr_L14,fr_s1_ar_d3_fam03_fr,2,1.29,False
fr_L14,fr_s1_ar_d3_fam03_fr,3,1.209,False
fr_L14,fr_s1_ar_d3_fam03_fr,4,1.31,False
fr_L14,fr_s1_ar_d3_fam03_fr,5,1.096,False
fr_L14,fr_s1_ar_d3_fam03_fr,6,1.156,False
fr_L14,fr_s1_ar_d3_fam03_fr,7,1.0,False
fr_L14,fr_s1_ar_d3_fam03_fr,8,1.014,False
fr_L14,fr_s1_ar_d3_fam03_fr,9,1.096,False
fr_L14,fr_s1_ar_d3_fam03_fr,10,0.997,False
fr_L14,fr_s1_ar_d3_fam03_fr,11,1.053,False
fr_L14,fr_s1_ar_d3_fam03_fr,12,1.166,False
fr_L14,fr_s1_ar_d3_fam03_fr,13,1.067,False
fr_L14,fr_s1_ar_d3_fam03_fr,14,0.999,False
fr_L14,fr_s1_ar_d3_fam03_fr,15,1.079,False
fr_L14,fr_s1_ar_d3_fam03_fr,16,1.103,True
fr_L14,fr_s1_ar_d3_fam03_fr,17,0.998,False
fr_L14,fr_s1_ar_d3_fam03_fr,18,1.05,False
fr_L14,fr_s1_ar_d3_fam03_fr,19,1.139,False
fr_L14,fr_s1_ar_d3_fam03_fr,20,1.074,False
fr_L14,fr_s1_ar_d3_fam03_rf,1,1.582,False
fr_L14,fr_s1_ar_d3_fam03_rf,2,1.403,False
fr_L14,fr_s1_ar_d3_fam03_rf,3,1.192,False
fr_L14,fr_s1_ar_d3_fam03_rf,4,1.271,False
fr_L14,fr_s1_ar_d3_fam03_rf,5,1.395,False
fr_L14,fr_s1_ar_d3_fam03_rf,6,1.502,False
fr_L14,fr_s1_ar_d3_fam03_rf,7,1.503,False
fr_L14,fr_s1_ar_d3_fam03_rf,8,1.334,False
fr_L14,fr_s1_ar_d3_fam03_rf,9,1.477,False
fr_L14,fr_s1_ar_d3_fam03_rf,10,1.371,False
fr_L14,fr_s1_ar_d3_fam03_rf,11,1.201,False
fr_L14,fr_s1_ar_d3_fam03_rf,12,1.275,False
fr_L14,fr_s1_ar_d3_fam03_rf,13,1.232,False
fr_L14,fr_s1_ar_d3_fam03_rf,14,1.42,True
fr_L14,fr_s1_ar_d3_fam03_rf,15,1.447,False
fr_L14,fr_s1_ar_d3_fam03_rf,16,1.466,False
fr_L14,fr_s1_ar_d3_fam03_rf,17,1.334,False
fr_L14,fr_s1_ar_d3_fam03_rf,18,1.288,False
fr_L14,fr_s1_ar_d3_fam03_rf,19,1.249,False
fr_L14,fr_s1_ar_d3_fam03_rf,20,1.206,False
fr_L14,fr_s1_ar_d3_fam04_fr,1,1.107,False
fr_L14,fr_s1_ar_d3_fam04_fr,2,1.106,False
fr_L14,fr_s1_ar_d3_fam04_fr,3,1.068,False
fr_L14,fr_s1_ar_d3_fam04_fr,4,1.041,False
fr_L14,fr_s1_ar_d3_fam04_fr,5,1.013,False
fr_L14,fr_s1_ar_d3_fam04_fr,6,0.889,False
fr_L14,fr_s1_ar_d3_fam04_fr,7,0.958,False
fr_L14,fr_s1_ar_d3_fam04_fr,8,0.994,False
fr_L14,fr_s1_ar_d3_fam04_fr,9,0.984,True
fr_L14,fr_s1_ar_d3_fam04_fr,10,1.052,False
fr_L14,fr_s1_ar_d3_fam04_fr,11,1.043,False
fr_L14,fr_s1_ar_d3_fam04_fr,12,1.012,False
fr_L14,fr_s1_ar_d3_fam04_fr,13,1.06,False
fr_L14,fr_s1_ar_d3_fam04_fr,14,1.038,False
fr_L14,fr_s1_ar_d3_fam04_fr,15,1.02,False
