probe,run,k,score,is_jump
tank_L4,tank_d3_fam00_ab,1,1.036,False
tank_L4,tank_d3_fam00_ab,2,0.972,False
tank_L4,tank_d3_fam00_ab,3,1.004,False
tank_L4,tank_d3_fam00_ab,4,0.878,False
tank_L4,tank_d3_fam00_ab,5,1.046,False
tank_L4,tank_d3_fam00_ab,6,1.252,True
tank_L4,tank_d3_fam00_ab,7,1.026,False
tank_L4,tank_d3_fam00_ab,8,1.259,False
tank_L4,tank_d3_fam00_ab,9,1.088,False
tank_L4,tank_d3_fam00_ab,10,1.1,False
tank_L4,tank_d3_fam00_ab,11,1.067,False
tank_L4,tank_d3_fam00_ab,12,0.986,False
tank_L4,tank_d3_fam00_ab,13,1.099,False
tank_L4,tank_d3_fam00_ab,14,1.075,False
tank_L4,tank_d3_fam00_ab,15,1.119,False
tank_L4,tank_d3_fam00_ab,16,1.068,False
tank_L4,tank_d3_fam00_ab,17,1.183,False
tank_L4,tank_d3_fam00_ab,18,1.119,False
tank_L4,tank_d3_fam00_ab,19,0.983,False
tank_L4,tank_d3_fam00_ab,20,0.827,False
tank_L4,tank_d3_fam00_ba,1,1.159,False
tank_L4,tank_d3_fam00_ba,2,1.079,False
tank_L4,tank_d3_fam00_ba,3,1.181,False
tank_L4,tank_d3_fam00_ba,4,1.152,False
tank_L4,tank_d3_fam00_ba,5,1.024,False
tank_L4,tank_d3_fam00_ba,6,1.025,False
tank_L4,tank_d3_fam00_ba,7,1.022,False
tank_L4,tank_d3_fam00_ba,8,0.949,False
tank_L4,tank_d3_fam00_ba,9,1.014,False
tank_L4,tank_d3_fam00_ba,10,0.993,False
tank_L4,tank_d3_fam00_ba,11,1.073,False
tank_L4,tank_d3_fam00_ba,12,1.047,False
tank_L4,tank_d3_fam00_ba,13,1.066,True
tank_L4,tank_d3_fam00_ba,14,1.092,False
tank_L4,tank_d3_fam00_ba,15,0.918,False
tank_L4,tank_d3_fam00_ba,16,0.989,False
tank_L4,tank_d3_fam00_ba,17,1.013,False
tank_L4,tank_d3_fam00_ba,18,0.955,False
tank_L4,tank_d3_fam00_ba,19,1.006,False
tank_L4,tank_d3_fam00_ba,20,0.888,False
tank_L4,tank_d3_fam01_ab,1,0.985,False
tank_L4,tank_d3_fam01_ab,2,0.984,False
tank_L4,tank_d3_fam01_ab,3,0.841,False
tank_L4,tank_d3_fam01_ab,4,0.823,False
tank_L4,tank_d3_fam01_ab,5,0.78,True
tank_L4,tank_d3_fam01_ab,6,0.922,False
tank_L4,tank_d3_fam01_ab,7,0.967,False
tank_L4,tank_d3_fam01_ab,8,0.927,False
tank_L4,tank_d3_fam01_ab,9,0.858,False
tank_L4,tank_d3_fam01_ab,10,0.861,False
tank_L4,tank_d3_fam01_ab,11,0.926,False
tank_L4,tank_d3_fam01_ab,12,0.891,False
tank_L4,tank_d3_fam01_ab,13,0.971,False
tank_L4,tank_d3_fam01_ab,14,0.88,False
tank_L4,tank_d3_fam01_ab,15,1.0,False
tank_L4,tank_d3_fam01_ab,16,0.799,False
tank_L4,tank_d3_fam01_ab,17,0.904,False
tank_L4,tank_d3_fam01_ab,18,1.0,False
tank_L4,tank_d3_fam01_ab,19,0.914,False
tank_L4,tank_d3_fam01_ab,20,0.811,False
tank_L4,tank_d3_fam01_ba,1,1.298,False
tank_L4,tank_d3_fam01_ba,2,1.147,False
tank_L4,tank_d3_fam01_ba,3,0.851,False
tank_L4,tank_d3_fam01_ba,4,0.889,False
tank_L4,tank_d3_fam01_ba,5,0.835,False
tank_L4,tank_d3_fam01_ba,6,0.825,False
tank_L4,tank_d3_fam01_ba,7,0.978,False
tank_L4,tank_d3_fam01_ba,8,0.968,False
tank_L4,tank_d3_fam01_ba,9,0.953,False
tank_L4,tank_d3_fam01_ba,10,0.917,True
tank_L4,tank_d3_fam01_ba,11,0.949,False
tank_L4,tank_d3_fam01_ba,12,0.851,False
tank_L4,tank_d3_fam01_ba,13,0.8,False
tank_L4,tank_d3_fam01_ba,14,0.85,False
tank_L4,tank_d3_fam01_ba,15,1.057,False
tank_L4,tank_d3_fam01_ba,16,1.011,False
tank_L4,tank_d3_fam01_ba,17,1.134,False
tank_L4,tank_d3_fam01_ba,18,0.927,False
tank_L4,tank_d3_fam01_ba,19,0.906,False
tank_L4,tank_d3_fam01_ba,20,0.833,False
tank_L4,tank_d3_fam02_ab,1,1.064,False
tank_L4,tank_d3_fam02_ab,2,1.025,False
tank_L4,tank_d3_fam02_ab,3,1.009,False
