set,session,run,k,reading,logprobs,category,auto
tank_d3_fam00_ab_beh_k02,session_2ba7e29e,tank_d3_fam00_ab,2,-0.516,"{""answer_starters"": {""In"": -3.25482, ""The"": -1.25482, ""A"": -9.020445, ""It"": -4.489195}, ""sense_words"": {"" aquarium"": -26.791563, "" vehicle"": -28.801695, "" military"": -26.539732, "" fish"": -26.176451, "" water"": -25.554625, "" armored"": -28.641539}}",aquarium,aquarium
tank_d3_fam00_ab_beh_k06,session_ed171c20,tank_d3_fam00_ab,6,0.666,"{""answer_starters"": {""In"": -4.543139, ""The"": -0.933763, ""A"": -7.918139, ""It"": -3.449388}, ""sense_words"": {"" aquarium"": -27.371264, "" vehicle"": -28.137865, "" military"": -27.044115, "" fish"": -25.720873, "" water"": -25.670092, "" armored"": -28.384935}}",both,both
tank_d3_fam00_ab_beh_k12,session_c5916b8d,tank_d3_fam00_ab,12,0.11,"{""answer_starters"": {""In"": -3.485809, ""The"": -1.282684, ""A"": -9.610808, ""It"": -4.751434}, ""sense_words"": {"" aquarium"": -27.109467, "" vehicle"": -28.599091, "" military"": -26.456024, "" fish"": -26.541718, "" water"": -25.733856, "" armored"": -28.780731}}",both,unclear
tank_d3_fam00_ab_beh_k20,session_003449af,tank_d3_fam00_ab,20,0.567,"{""answer_starters"": {""In"": -3.928067, ""The"": -1.396817, ""A"": -8.365567, ""It"": -4.162442}, ""sense_words"": {"" aquarium"": -25.131926, "" vehicle"": -26.932951, "" military"": -24.643888, "" fish"": -24.752775, "" water"": -23.805998, "" armored"": -26.830412}}",vehicle,vehicle
tank_d3_fam00_ba_beh_k02,session_bc250916,tank_d3_fam00_ba,2,1.108,"{""answer_starters"": {""In"": -4.309377, ""The"": -2.262502, ""A"": -8.606253, ""It"": -5.168752}, ""sense_words"": {"" aquarium"": -27.377737, "" vehicle"": -28.055471, "" military"": -25.470022, "" fish"": -26.06304, "" water"": -25.221487, "" armored"": -27.712698}}",vehicle,vehicle
tank_d3_fam00_ba_beh_k06,session_e13409d6,tank_d3_fam00_ba,6,1.189,"{""answer_starters"": {""In"": -4.535543, ""The"": -1.894918, ""A"": -8.223042, ""It"": -4.707418}, ""sense_words"": {"" aquarium"": -26.851461, "" vehicle"": -27.796286, "" military"": -25.483297, "" fish"": -25.942282, "" water"": -24.893942, "" armored"": -28.167379}}",vehicle,vehicle
tank_d3_fam00_ba_beh_k12,session_a979d40c,tank_d3_fam00_ba,12,0.794,"{""answer_starters"": {""In"": -4.332841, ""The"": -1.879717, ""A"": -8.567217, ""It"": -4.973466}, ""sense_words"": {"" aquarium"": -26.636553, "" vehicle"": -27.645342, "" military"": -25.16292, "" fish"": -25.571123, "" water"": -24.5721, "" armored"": -27.780107}}",vehicle,vehicle
tank_d3_fam00_ba_beh_k20,session_4f87b5cc,tank_d3_fam00_ba,20,-0.19,"{""answer_starters"": {""In"": -3.741172, ""The"": -1.538047, ""A"": -8.209922, ""It"": -4.913047}, ""sense_words"": {"" aquarium"": -26.083824, "" vehicle"": -27.732384, "" military"": -24.769493, "" fish"": -25.574181, "" water"": -24.458946, "" armored"": -27.466759}}",vehicle,vehicle
tank_d3_fam01_ab_beh_k02,session_ed19f7ec,tank_d3_fam01_ab,2,-2.362,"{""answer_starters"": {""In"": -3.091691, ""The"": -1.90419, ""A"": -7.388566, ""It"": -4.669816}, ""sense_words"": {"" aquarium"": -24.822159, "" vehicle"": -28.910049, "" military"": -26.654922, "" fish"": -24.684464, "" water"": -24.175674, "" armored"": -28.552628}}",no_answer,unclear
tank_d3_fam01_ab_beh_k06,session_459d1ce1,tank_d3_fam01_ab,6,-1.305,"{""answer_starters"": {""In"": -3.935547, ""The"": -2.529297, ""A"": -8.498047, ""It"": -6.185547}, ""sense_words"": {"" aquarium"": -28.028809, "" vehicle"": -30.986328, "" military"": -29.026855, "" fish"": -27.854004, "" water"": -27.163086, "" armored"": -31.023438}}",aquarium,aquarium
tank_d3_fam01_ab_beh_k12,session_866b292b,tank_d3_fam01_ab,12,-0.954,"{""answer_starters"": {""In"": -3.657363, ""The"": -2.922988, ""A"": -7.938613, ""It"": -6.704238}, ""sense_words"": {"" aquarium"": -27.789688, "" vehicle"": -31.108536, "" military"": -28.359512, "" fish"": -27.846817, "" water"": -26.832169, "" armored"": -30.342911}}",aquarium,aquarium
tank_d3_fam01_ab_beh_k20,session_11cf2af6,tank_d3_fam01_ab,20,-0.677,"{""answer_starters"": {""In"": -4.842578, ""The"": -2.373829, ""A"": -7.967578, ""It"": -6.108203}, ""sense_words"": {"" aquarium"": -28.263233, "" vehicle"": -30.86797, "" military"": -28.824268, "" fish"": -27.52129, "" water"": -26.67754, "" armored"": -30.55547}}",aquarium,aquarium
tank_d3_fam01_ba_beh_k02,session_a08ee907,tank_d3_fam01_ba,2,0.49,"{""answer_starters"": {""In"": -3.03573, ""The"": -2.051355, ""A"": -7.56698, ""It"": -4.81698}, ""sense_words"": {"" aquarium"": -27.710535, "" vehicle"": -28.362879, "" military"": -26.171961, "" fish"": -26.205164, "" water"": -25.582605, "" armored"": -28.196863}}",vehicle,vehicle
tank_d3_fam01_ba_beh_k06,session_61fdaa8a,tank_d3_fam01_ba,6,-0.697,"{""answer_starters"": {""In"": -2.844887, ""The"": -1.735512, ""A"": -7.782387, ""It"": -3.704262}, ""sense_words"": {"" aquarium"": -27.476723, "" vehicle"": -28.114418, "" military"": -26.704506, "" fish"": -25.363441, "" water"": -25.360512, "" armored"": -28.44059}}",no_answer,unclear
tank_d3_fam01_ba_beh_k12,session_335ef179,tank_d3_fam01_ba,12,-1.405,"{""answer_starters"": {""In"": -3.051442, ""The"": -1.832692, ""A"": -6.895192, ""It"": -3.379567}, ""sense_words"": {"" aquarium"": -26.570484, "" vehicle"": -28.237965, "" military"": -27.235523, "" fish"": -24.681324, "" water"": -24.506519, "" armored"": -28.526051}}",aquarium,aquarium
tank_d3_fam01_ba_beh_k20,session_32c13e92,tank_d3_fam01_ba,20,-2.041,"{""answer_starters"": {""In"": -3.323675, ""The"": -1.948675, ""A"": -6.354925, ""It"": -3.5268}, ""sense_words"": {"" aquarium"": -25.576117, "" vehicle"": -28.386175, "" military"": -27.388617, "" fish"": -24.499456, "" water"": -23.950628, "" armored"": -28.443792}}",no_answer,unclear
tank_d3_fam02_ab_beh_k02,session_ebf23f3b,tank_d3_fam02_ab,2,-0.932,"{""answer_starters"": {""In"": -5.315118, ""The"": -2.283868, ""A"": -8.658868, ""It"": -4.502618}, ""sense_words"": {"" aquarium"": -26.905207, "" vehicle"": -28.986017, "" military"": -27.814142, "" fish"": -24.297541, "" water"": -25.418634, "" armored"": -28.888361}}",both,both
tank_d3_fam02_ab_beh_k06,session_ed7759b3,tank_d3_fam02_ab,6,0.338,"{""answer_starters"": {""In"": -5.381577, ""The"": -1.881577, ""A"": -8.397202, ""It"": -4.256577}, ""sense_words"": {"" aquarium"": -27.384506, "" vehicle"": -28.519272, "" military"": -27.345444, "" fish"": -25.202866, "" water"": -25.836166, "" armored"": -28.673569}}",both,unclear
tank_d3_fam02_ab_beh_k12,session_d70885da,tank_d3_fam02_ab,12,0.061,"{""answer_starters"": {""In"": -5.561975, ""The"": -2.10885, ""A"": -8.718225, ""It"": -4.4526}, ""sense_words"": {"" aquarium"": -27.234461, "" vehicle"": -28.942835, "" military"": -27.305384, "" fish"": -25.221155, "" water"": -25.24264, "" armored"": -29.099085}}",vehicle,vehicle
tank_d3_fam02_ab_beh_k20,session_13a38ba3,tank_d3_fam02_ab,20,0.249,"{""answer_starters"": {""In"": -4.820253, ""The"": -2.054628, ""A"": -8.507753, ""It"": -4.914003}, ""sense_words"": {"" aquarium"": -27.200472, "" vehicle"": -28.941347, "" military"": -27.378969, "" fish"": -25.246035, "" water"": -25.609316, "" armored"": -28.947206}}",both,both
