pair,domain,fictional,real,diff
A01,goodbye,-2.3895261,-0.8770813,1.5124449
A02,goodbye,-1.2009853,-1.0316142,0.16937113
A03,goodbye,-1.671017,-0.5687496,1.1022675
A04,goodbye,-2.2729526,-0.89718455,1.375768
A05,goodbye,-1.5092789,-1.2296885,0.27959037
A06,goodbye,-2.1979692,-2.0429258,0.15504336
A07,goodbye,-2.2259007,-0.10423744,2.121663
A08,goodbye,-1.6897001,-0.6694797,1.0202204
A09,goodbye,-2.1425855,-0.43017042,1.7124151
A10,goodbye,-2.4366572,-1.7401544,0.6965028
A11,goodbye,-1.4534857,-0.8595259,0.5939598
A12,goodbye,-1.9386626,0.45121536,2.389878
A13,goodbye,-1.9700382,-1.7078295,0.2622087
A14,goodbye,-2.4617374,-0.9454646,1.5162728
A15,goodbye,-1.6748334,-0.40283418,1.2719992
A16,goodbye,-2.2762923,-0.73256177,1.5437305
A17,goodbye,-1.5251554,-0.36941683,1.1557386
A18,goodbye,-2.2413282,-0.84659827,1.39473
A19,goodbye,-1.4568452,-1.1284174,0.3284278
A20,goodbye,-2.0341501,-0.16161303,1.8725371
A21,goodbye,-2.3639572,-1.0602484,1.3037088
A22,goodbye,-1.990725,-1.160483,0.83024204
A23,goodbye,-1.5096385,-1.7941259,-0.28448737
A24,goodbye,-1.6422006,-0.4996743,1.1425263
A25,goodbye,-1.0014787,-0.62771773,0.37376094
B01,loss,-1.89756,-0.4410907,1.4564693
B02,loss,-1.8860091,-0.12432395,1.7616851
B03,loss,-1.5403281,-1.276063,0.26426518
B04,loss,-1.8003211,-1.413625,0.3866961
B05,loss,-1.6269951,0.012950574,1.6399456
B06,loss,-1.4236616,0.57046175,1.9941233
B07,loss,-1.6356113,1.0195808,2.6551921
B08,loss,-1.9214343,-1.0300224,0.8914119
B09,loss,-1.6692883,-0.182805,1.4864833
B10,loss,-1.8120334,0.6961756,2.508209
B11,loss,-2.2578077,-0.34396186,1.9138459
B12,loss,-2.1609247,-1.3387336,0.8221911
B13,loss,-1.7894826,-0.08663691,1.7028457
B14,loss,-1.4142852,-1.2737194,0.14056575
B15,loss,-1.5563743,-1.1169089,0.4394654
B16,loss,-2.2699196,-0.14494105,2.1249785
B17,loss,-1.463156,-0.8991874,0.5639686
B18,loss,-1.3470584,-0.33129156,1.0157669
B19,loss,-1.5539097,-0.81642693,0.7374827
B20,loss,-1.2937161,-0.15739305,1.136323
B21,loss,-1.5783312,-0.33953738,1.2387938
B22,loss,-1.2828295,-0.58793455,0.69489497
B23,loss,-2.1770465,-0.35631433,1.8207322
B24,loss,-1.6599923,0.19309758,1.8530899
B25,loss,-2.0484517,-0.20043243,1.8480192
C01,apology,-2.5608826,-1.1663457,1.3945369
C02,apology,-1.7989706,-0.6687198,1.1302507
C03,apology,-1.7753462,-1.5236994,0.25164676
C04,apology,-1.5740489,-1.5371412,0.036907673
C05,apology,-1.7692862,-1.2975867,0.47169948
C06,apology,-2.3279016,0.045488615,2.3733902
C07,apology,-1.7282593,-0.83449084,0.8937685
C08,apology,-1.9153019,0.21698517,2.132287
C09,apology,-1.8108056,-1.6321106,0.17869496
C10,apology,-2.5996616,-1.6066393,0.9930223
C11,apology,-2.0117748,-0.9245231,1.0872517
C12,apology,-1.795997,-1.9427575,-0.14676046
C13,apology,-1.683465,-0.46673632,1.2167287
C14,apology,-1.520398,-0.74247104,0.777927
C15,apology,-1.7594516,-1.4601105,0.29934108
C16,apology,-1.491045,-1.1880648,0.30298018
C17,apology,-2.3705955,-1.3202726,1.0503229
C18,apology,-1.7980837,-1.576128,0.22195566
C19,apology,-1.7057933,-1.2593229,0.44647038
C20,apology,-1.5207214,-1.6785105,-0.15778911
C21,apology,-1.436038,-1.6585999,-0.22256184
C22,apology,-1.8322308,-1.7251933,0.107037544
C23,apology,-2.2668986,-0.49082592,1.7760727
C24,apology,-1.5146852,-0.88197106,0.6327141
C25,apology,-1.875386,-1.4970747,0.37831128
D01,hard_conversation,-1.8645935,-1.7915946,0.07299888
D02,hard_conversation,-2.710681,-0.0028186303,2.7078624
D03,hard_conversation,-1.30821,-0.9474959,0.36071414
D04,hard_conversation,-1.9481663,-1.1495103,0.798656
D05,hard_conversation,-2.1350188,-0.5248146,1.6102042
D06,hard_conversation,-1.4908581,-0.67490107,0.815957
D07,hard_conversation,-2.1402423,-0.88757306,1.2526693
D08,hard_conversation,-2.0312252,-0.44088274,1.5903425
D09,hard_conversation,-1.4139979,-0.6238534,0.7901445
D10,hard_conversation,-1.7686168,-1.1456316,0.62298524
D11,hard_conversation,-2.2481444,-0.43545127,1.8126931
D12,hard_conversation,-2.0579374,-0.6180339,1.4399035
D13,hard_conversation,-2.5326822,-0.8906258,1.6420565
D14,hard_conversation,-2.3591108,-1.223577,1.1355338
D15,hard_conversation,-2.3291345,-1.1079633,1.2211711
D16,hard_conversation,-1.4019563,-0.8681877,0.5337686
D17,hard_conversation,-2.1785326,-0.43912444,1.7394081
D18,hard_conversation,-1.874273,-1.7797369,0.094536066
D19,hard_conversation,-2.0816023,-0.39138103,1.6902213
D20,hard_conversation,-1.124491,-0.90766484,0.21682614
D21,hard_conversation,-1.595194,-1.4245024,0.17069161
D22,hard_conversation,-1.7360522,-0.8720344,0.8640178
D23,hard_conversation,-2.303121,-1.6483827,0.6547384
D24,hard_conversation,-1.8369468,-0.6143299,1.2226169
D25,hard_conversation,-1.5925709,-1.3058047,0.28676617
E01,memory,-1.6441565,-0.3089349,1.3352215
E02,memory,-1.7232246,0.16670723,1.8899319
E03,memory,-1.9150944,-1.4664857,0.44860864
E04,memory,-2.1487129,-0.47186384,1.676849
E05,memory,-1.4778812,-0.8996245,0.57825667
E06,memory,-2.0990977,-0.9766614,1.1224363
E07,memory,-1.9594728,-0.63123554,1.3282373
E08,memory,-2.1085677,-1.0500938,1.058474
E09,memory,-1.9533362,-0.20876598,1.7445703
E10,memory,-1.7778275,-1.2094374,0.56839013
E11,memory,-1.9995835,-1.4756075,0.52397597
E12,memory,-1.5701654,-1.4425188,0.12764657
E13,memory,-1.3669093,-1.5349183,-0.16800904
E14,memory,-1.629912,0.36931422,1.9992262
E15,memory,-1.6877054,-1.5607047,0.12700069
E16,memory,-1.6614124,-1.1112622,0.55015016
E17,memory,-0.7669936,-0.50691646,0.26007712
E18,memory,-1.9779971,-0.8435116,1.1344855
E19,memory,-2.2347322,-0.20793167,2.0268004
E20,memory,-2.297296,1.0604448,3.3577409
E21,memory,-1.732128,-0.78315514,0.9489729
E22,memory,-1.2102754,-1.1865648,0.023710608
E23,memory,-0.8420461,0.37633014,1.2183762
E24,memory,-1.669079,-0.6793532,0.98972577
E25,memory,-1.5932107,-1.568632,0.02457869
F01,leaving,-2.3074086,-0.3618149,1.9455937
F02,leaving,-1.0751555,-0.09253341,0.9826221
F03,leaving,-1.7431806,-0.1954682,1.5477124
F04,leaving,-1.7886955,-1.140498,0.6481974
F05,leaving,-1.0955762,-0.55838555,0.5371906
F06,leaving,-1.8469473,-1.0755342,0.7714131
F07,leaving,-2.197218,-0.22236663,1.9748514
F08,leaving,-2.0974865,-0.99528074,1.1022058
F09,leaving,-1.7312999,-1.5165747,0.21472514
F10,leaving,-2.3446276,-1.1632277,1.1814
F11,leaving,-1.3451236,-0.19302529,1.1520984
F12,leaving,-2.237448,-1.3625396,0.8749083
F13,leaving,-1.8617045,-1.8361849,0.02551961
F14,leaving,-2.2469778,-0.7028872,1.5440906
F15,leaving,-1.7276956,-0.74470204,0.98299354
F16,leaving,-1.9429902,-0.31994286,1.6230474
F17,leaving,-1.8857777,-1.0661222,0.81965554
F18,leaving,-1.9035984,-1.5371262,0.36647224
F19,leaving,-1.9105737,-1.1269015,0.7836722
F20,leaving,-0.075779006,-0.13645971,-0.060680702
F21,leaving,-1.1013944,-1.3258346,-0.22444022
F22,leaving,-1.9231094,-0.4918085,1.4313009
F23,leaving,-0.8137678,-0.48806033,0.32570747
F24,leaving,-2.0482836,-0.94502425,1.1032593
F25,leaving,-1.5810357,-1.1709977,0.410038
