task,set,session,run,k,category,reading,marker_pct
tank,tank_d3_fam00_ab_beh_k02,session_cc04ed79,tank_d3_fam00_ab,2.0,aquarium,-0.516,38.168
tank,tank_d3_fam00_ab_beh_k06,session_1ca22e07,tank_d3_fam00_ab,6.0,vehicle,0.666,40.625
tank,tank_d3_fam00_ab_beh_k12,session_d35163b8,tank_d3_fam00_ab,12.0,vehicle,0.11,31.172
tank,tank_d3_fam00_ab_beh_k20,session_cad415c9,tank_d3_fam00_ab,20.0,vehicle,0.567,26.835
tank,tank_d3_fam00_ba_beh_k02,session_caa0cd3e,tank_d3_fam00_ba,2.0,vehicle,1.108,9.655
tank,tank_d3_fam00_ba_beh_k06,session_f6ce6831,tank_d3_fam00_ba,6.0,vehicle,1.189,12.708
tank,tank_d3_fam00_ba_beh_k12,session_203f2602,tank_d3_fam00_ba,12.0,vehicle,0.794,26.324
tank,tank_d3_fam00_ba_beh_k20,session_e84e8186,tank_d3_fam00_ba,20.0,vehicle,-0.19,32.469
tank,tank_d3_fam01_ab_beh_k02,session_02ffff33,tank_d3_fam01_ab,2.0,no_answer,-2.362,0.935
tank,tank_d3_fam01_ab_beh_k06,session_ce78bccc,tank_d3_fam01_ab,6.0,aquarium,-1.305,9.855
tank,tank_d3_fam01_ab_beh_k12,session_9a24e617,tank_d3_fam01_ab,12.0,no_answer,-0.954,14.878
tank,tank_d3_fam01_ab_beh_k20,session_0b094a48,tank_d3_fam01_ab,20.0,both,-0.677,15.987
tank,tank_d3_fam01_ba_beh_k02,session_15744287,tank_d3_fam01_ba,2.0,vehicle,0.49,13.345
tank,tank_d3_fam01_ba_beh_k06,session_3ec1e5f8,tank_d3_fam01_ba,6.0,both,-0.697,22.924
tank,tank_d3_fam01_ba_beh_k12,session_da80036f,tank_d3_fam01_ba,12.0,both,-1.405,16.843
tank,tank_d3_fam01_ba_beh_k20,session_c65398b1,tank_d3_fam01_ba,20.0,both,-2.041,5.252
tank,tank_d3_fam02_ab_beh_k02,session_d7362ab3,tank_d3_fam02_ab,2.0,aquarium,-0.932,20.438
tank,tank_d3_fam02_ab_beh_k06,session_de5b8f72,tank_d3_fam02_ab,6.0,both,0.338,29.409
tank,tank_d3_fam02_ab_beh_k12,session_0e8ee320,tank_d3_fam02_ab,12.0,both,0.061,27.539
tank,tank_d3_fam02_ab_beh_k20,session_1f99242d,tank_d3_fam02_ab,20.0,both,0.249,22.224
tank,tank_d3_fam02_ba_beh_k02,session_ca6d4c0d,tank_d3_fam02_ba,2.0,both,1.402,7.304
tank,tank_d3_fam02_ba_beh_k06,session_913095a8,tank_d3_fam02_ba,6.0,no_answer,0.284,37.644
tank,tank_d3_fam02_ba_beh_k12,session_044a13d3,tank_d3_fam02_ba,12.0,both,-0.174,32.896
tank,tank_d3_fam02_ba_beh_k20,session_784f7dd2,tank_d3_fam02_ba,20.0,no_answer,-0.722,33.46
tank,tank_d3_fam03_ab_beh_k02,session_a0a376b9,tank_d3_fam03_ab,2.0,aquarium,-1.498,9.11
tank,tank_d3_fam03_ab_beh_k06,session_c07d8f96,tank_d3_fam03_ab,6.0,aquarium,-1.239,15.843
tank,tank_d3_fam03_ab_beh_k12,session_6860757a,tank_d3_fam03_ab,12.0,both,0.158,32.468
tank,tank_d3_fam03_ab_beh_k20,session_008d4208,tank_d3_fam03_ab,20.0,no_answer,-0.31,27.284
tank,tank_d3_fam03_ba_beh_k02,session_f695058b,tank_d3_fam03_ba,2.0,vehicle,1.318,22.128
tank,tank_d3_fam03_ba_beh_k06,session_eacb014d,tank_d3_fam03_ba,6.0,both,-0.376,34.124
tank,tank_d3_fam03_ba_beh_k12,session_072ebd68,tank_d3_fam03_ba,12.0,aquarium,-0.454,34.603
tank,tank_d3_fam03_ba_beh_k20,session_c6452f26,tank_d3_fam03_ba,20.0,both,-0.393,34.154
tank,tank_d3_fam04_ab_beh_k02,session_952af239,tank_d3_fam04_ab,2.0,aquarium,-1.185,8.435
tank,tank_d3_fam04_ab_beh_k06,session_f2e21cb0,tank_d3_fam04_ab,6.0,aquarium,-0.957,16.163
tank,tank_d3_fam04_ab_beh_k12,session_a3136cc8,tank_d3_fam04_ab,12.0,no_answer,-0.569,20.36
tank,tank_d3_fam04_ab_beh_k20,session_29a1b988,tank_d3_fam04_ab,20.0,no_answer,-0.65,18.382
tank,tank_d3_fam04_ba_beh_k02,session_b55fa1eb,tank_d3_fam04_ba,2.0,vehicle,1.724,25.353
tank,tank_d3_fam04_ba_beh_k06,session_d4f43e76,tank_d3_fam04_ba,6.0,aquarium,-0.347,44.26
tank,tank_d3_fam04_ba_beh_k12,session_405614e5,tank_d3_fam04_ba,12.0,vehicle,-0.603,31.296
tank,tank_d3_fam04_ba_beh_k20,session_9fc7fcb3,tank_d3_fam04_ba,20.0,both,-0.6,17.993
tank,tank_d3_fam05_ab_beh_k02,session_21ffba53,tank_d3_fam05_ab,2.0,aquarium,-1.202,13.673
tank,tank_d3_fam05_ab_beh_k06,session_a3371e59,tank_d3_fam05_ab,6.0,aquarium,-0.219,25.159
tank,tank_d3_fam05_ab_beh_k12,session_247467ff,tank_d3_fam05_ab,12.0,both,0.124,36.099
tank,tank_d3_fam05_ab_beh_k20,session_90d07ad6,tank_d3_fam05_ab,20.0,both,0.87,23.767
