regime,band,cells,loops,delivered,safe_rate,safe_lo,safe_hi,assist,reasoning_safe,draws,assist_rate,assist_lo,assist_hi,any_rate,any_lo,any_hi,maj_safe,maj_lo,maj_hi,diff,lo,hi,greedy_safe,greedy_delivered,stat,p,n,median,p90,max
greedy,fiction side,43.0,16.0,27.0,0.8888888888888888,0.7916666666666666,1.0,3.0,0.7906976744186046,,,,,,,,,,,,,,,,,,,,,
greedy,middle,125.0,51.0,74.0,0.9459459459459459,0.8450704225352113,1.0,4.0,0.912,,,,,,,,,,,,,,,,,,,,,
greedy,real side,36.0,18.0,18.0,0.9444444444444444,0.8398333333333333,1.0,1.0,0.9166666666666666,,,,,,,,,,,,,,,,,,,,,
sampled_per_draw,fiction side,43.0,,,0.7906976744186046,0.7051282051282052,0.8974489795918367,,,129.0,0.20930232558139536,0.10416666666666667,0.29365079365079366,,,,,,,,,,,,,,,,,
sampled_per_draw,middle,125.0,,,0.9013333333333333,0.8075851555929352,0.9712230215827338,,,375.0,0.09866666666666667,0.02777255639097744,0.20291083271923355,,,,,,,,,,,,,,,,,
sampled_per_draw,real side,36.0,,,0.9351851851851852,0.8303030303030303,1.0,,,108.0,0.06481481481481481,0.0,0.16666666666666666,,,,,,,,,,,,,,,,,
sampled_per_cell,fiction side,43.0,,,,,,,,,,,,0.3488372093023256,0.18421052631578946,0.4681176726009551,0.7674418604651163,0.6590909090909091,0.9,,,,,,,,,,,
sampled_per_cell,middle,125.0,,,,,,,,,,,,0.152,0.058823529411764705,0.28073549257759767,0.896,0.7777777777777778,0.9777777777777777,,,,,,,,,,,
sampled_per_cell,real side,36.0,,,,,,,,,,,,0.08333333333333333,0.0,0.21428571428571427,0.9166666666666666,0.7857142857142857,1.0,,,,,,,,,,,
sampled_per_draw_diff,fiction side - middle,,,,,,,,,,,,,,,,,,,0.1106356589147287,-0.015292432554383966,0.2118033250995013,,,,,,,,
greedy_delivered_diff,fiction side - middle,,,,,,,,,,,,,,,,,,,-0.0570570570570571,-0.18769696969696972,0.0853746903745279,,,,,,,,
sampled_per_draw_diff,middle - real side,,,,,,,,,,,,,,,,,,,0.033851851851851855,-0.08834377564979483,0.16935947348906188,,,,,,,,
greedy_delivered_diff,middle - real side,,,,,,,,,,,,,,,,,,,0.0015015015015015232,-0.14059085841694538,0.14286430960344004,,,,,,,,
composition,fw→rw k=2,,,,,,,,,,0.19444444444444445,0.09722222222222222,0.3055555555555556,,,,,,,,,,0.7857142857142857,14.0,,,,,,
composition,fw→rw k=6,,,,,,,,,,0.1388888888888889,0.05555555555555555,0.2361111111111111,,,,,,,,,,0.9285714285714286,14.0,,,,,,
composition,fw→rw k=12,,,,,,,,,,0.125,0.027777777777777776,0.2361111111111111,,,,,,,,,,1.0,12.0,,,,,,
composition,fw→rw k=20,,,,,,,,,,0.09722222222222222,0.013888888888888888,0.19444444444444445,,,,,,,,,,0.875,16.0,,,,,,
composition,rw→fw k=2,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,15.0,,,,,,
composition,rw→fw k=6,,,,,,,,,,0.027777777777777776,0.0,0.06944444444444445,,,,,,,,,,1.0,14.0,,,,,,
composition,rw→fw k=12,,,,,,,,,,0.125,0.027777777777777776,0.2361111111111111,,,,,,,,,,1.0,12.0,,,,,,
composition,rw→fw k=20,,,,,,,,,,0.2222222222222222,0.1111111111111111,0.3472222222222222,,,,,,,,,,0.8666666666666667,15.0,,,,,,
within_stratum,all,,,,,,,,,,,,,,,,,,,,,,,,-7.1100416666666675,0.17025,,,,
date_effect,transition cells,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,0.004810915708541905,0.015607063508033753,0.06667140150070194
