run,kind,direction,tokens_to_crossing,settled_mean,residual_from_dest,overshoot,dwell_mid,pre_mean
tank_d3_fam00_ab,d3,aquarium_then_vehicle,6.0,0.215,0.785,0.0,12.0,-0.969
tank_d3_fam00_ba,d3,vehicle_then_aquarium,13.0,-0.034,0.966,0.0,7.0,1.473
tank_d4_fam00_a,d4,aquarium_only,,,,,,
tank_d4_fam00_b,d4,vehicle_only,,,,,,
tank_d3_fam01_ab,d3,aquarium_then_vehicle,,-0.836,1.836,0.0,0.0,-2.306
tank_d3_fam01_ba,d3,vehicle_then_aquarium,3.0,-1.664,0.664,1.04,3.0,0.81
tank_d3_fam02_ab,d3,aquarium_then_vehicle,6.0,0.111,0.889,0.0,14.0,-1.719
tank_d3_fam02_ba,d3,vehicle_then_aquarium,11.0,-0.576,0.424,0.008,5.0,1.887
tank_d4_fam02_a,d4,aquarium_only,,,,,,
tank_d4_fam02_b,d4,vehicle_only,,,,,,
tank_d3_fam03_ab,d3,aquarium_then_vehicle,9.0,-0.124,1.124,0.0,11.0,-2.082
tank_d3_fam03_ba,d3,vehicle_then_aquarium,6.0,-0.901,0.099,0.391,6.0,2.308
tank_d3_fam04_ab,d3,aquarium_then_vehicle,13.0,-0.172,1.172,0.0,9.0,-1.546
tank_d3_fam04_ba,d3,vehicle_then_aquarium,5.0,-0.59,0.41,0.168,8.0,1.857
tank_d4_fam04_a,d4,aquarium_only,,,,,,
tank_d4_fam04_b,d4,vehicle_only,,,,,,
tank_d3_fam05_ab,d3,aquarium_then_vehicle,11.0,0.613,0.387,0.073,8.0,-1.388
tank_d3_fam05_ba,d3,vehicle_then_aquarium,8.0,-0.366,0.634,0.022,6.0,2.023
tank_d3_fam06_ab,d3,aquarium_then_vehicle,5.0,1.031,0.031,1.384,5.0,-1.484
tank_d3_fam06_ba,d3,vehicle_then_aquarium,14.0,-0.103,0.897,0.0,9.0,1.778
tank_d4_fam06_a,d4,aquarium_only,,,,,,
tank_d4_fam06_b,d4,vehicle_only,,,,,,
tank_d3_fam07_ab,d3,aquarium_then_vehicle,15.0,-0.372,1.372,0.0,6.0,-2.098
tank_d3_fam07_ba,d3,vehicle_then_aquarium,4.0,-1.439,0.439,1.169,9.0,1.87
tank_d3_fam08_ab,d3,aquarium_then_vehicle,9.0,0.049,0.951,0.0,11.0,-1.691
tank_d3_fam08_ba,d3,vehicle_then_aquarium,10.0,-0.019,0.981,0.0,10.0,2.31
tank_d4_fam08_a,d4,aquarium_only,,,,,,
tank_d4_fam08_b,d4,vehicle_only,,,,,,
tank_d3_fam09_ab,d3,aquarium_then_vehicle,15.0,-0.179,1.179,0.0,8.0,-1.805
tank_d3_fam09_ba,d3,vehicle_then_aquarium,2.0,-0.694,0.306,0.207,9.0,1.491
tank_d3_fam10_ab,d3,aquarium_then_vehicle,11.0,0.55,0.45,0.109,9.0,-1.749
tank_d3_fam10_ba,d3,vehicle_then_aquarium,4.0,-0.242,0.758,0.266,10.0,2.609
tank_d4_fam10_a,d4,aquarium_only,,,,,,
tank_d4_fam10_b,d4,vehicle_only,,,,,,
tank_d3_fam11_ab,d3,aquarium_then_vehicle,10.0,-0.358,1.358,0.0,11.0,-2.098
tank_d3_fam11_ba,d3,vehicle_then_aquarium,6.0,-1.196,0.196,0.496,3.0,2.256
