set	session	positions	status
tank_d3_fam00_ab_full40	session_b6918297	867	ok
tank_d3_fam00_ba_full40	session_ef648374	867	ok
tank_d3_fam01_ab_full40	session_e60598b6	845	ok
tank_d3_fam01_ba_full40	session_e47ed958	845	ok
tank_d3_fam02_ab_full40	session_0aef6b19	895	ok
tank_d3_fam02_ba_full40	session_7e7b8a97	895	ok
tank_d3_fam03_ab_full40	session_c361f3d1	908	ok
tank_d3_fam03_ba_full40	session_5b99249a	908	ok
tank_d3_fam04_ab_full40	session_2d59ae5d	865	ok
tank_d3_fam04_ba_full40	session_b5dbaf6f	865	ok
tank_d3_fam05_ab_full40	session_1ea18094	955	ok
tank_d3_fam05_ba_full40	session_9dc0c4d3	955	ok
tank_d3_fam06_ab_full40	session_41d63d3e	917	ok
tank_d3_fam06_ba_full40	session_68c46f81	917	ok
tank_d3_fam07_ab_full40	session_b57abc92	983	ok
tank_d3_fam07_ba_full40	session_cb6dcfeb	983	ok
tank_d3_fam08_ab_full40	session_71e2f3c0	952	ok
tank_d3_fam08_ba_full40	session_099a62c3	953	ok
tank_d3_fam09_ab_full40	session_b1e20e28	918	ok
tank_d3_fam09_ba_full40	session_3a6b17f1	918	ok
tank_d3_fam10_ab_full40	session_5e3d7afe	875	ok
tank_d3_fam10_ba_full40	session_91c3bccf	875	ok
tank_d3_fam11_ab_full40	session_4fa89cb7	858	ok
tank_d3_fam11_ba_full40	session_8a2f2768	858	ok
tank_d4_fam00_a_full40	session_66ba1025	865	ok
tank_d4_fam00_b_full40	session_9a36f164	854	ok
tank_d4_fam02_a_full40	session_a7aa3d6d	879	ok
tank_d4_fam02_b_full40	session_7b356597	908	ok
tank_d4_fam04_a_full40	session_dd5c1f21	948	ok
tank_d4_fam04_b_full40	session_1d9aa695	875	ok
tank_d4_fam06_a_full40	session_5e0c9f55	945	ok
tank_d4_fam06_b_full40	session_0b54fe93	935	ok
tank_d4_fam08_a_full40	session_ac0bc853	921	ok
tank_d4_fam08_b_full40	session_1b59f700	964	ok
tank_d4_fam10_a_full40	session_0ae2da9e	903	ok
tank_d4_fam10_b_full40	session_847112e6	845	ok
