set	session	probes	has_gen	has_lp	status
fr_s1_ar_d3_fam00_fr_beh_k02	session_456eaa54	1	1	1	ok
fr_s1_ar_d3_fam00_fr_beh_k06	session_674117b7	1	1	1	ok
fr_s1_ar_d3_fam00_fr_beh_k12	session_42d43d25	1	1	1	ok
fr_s1_ar_d3_fam00_fr_beh_k20	session_d35d06d4	1	1	1	ok
fr_s1_ar_d3_fam00_rf_beh_k02	session_09448dbc	1	1	1	ok
fr_s1_ar_d3_fam00_rf_beh_k06	session_6f87d5e6	1	1	1	ok
fr_s1_ar_d3_fam00_rf_beh_k12	session_81c9a4bf	1	1	1	ok
fr_s1_ar_d3_fam00_rf_beh_k20	session_04d516d2	1	1	1	ok
fr_s1_ar_d3_fam01_fr_beh_k02	session_6b6f79cd	1	1	1	ok
fr_s1_ar_d3_fam01_fr_beh_k06	session_4c9c3af1	1	1	1	ok
fr_s1_ar_d3_fam01_fr_beh_k12	session_bdc2ab86	1	1	1	ok
fr_s1_ar_d3_fam01_fr_beh_k20	session_350742de	1	1	1	ok
fr_s1_ar_d3_fam01_rf_beh_k02	session_ed25e57c	1	1	1	ok
fr_s1_ar_d3_fam01_rf_beh_k06	session_ec3cb27f	1	1	1	ok
fr_s1_ar_d3_fam01_rf_beh_k12	session_99aaae02	1	1	1	ok
fr_s1_ar_d3_fam01_rf_beh_k20	session_764a5d35	1	1	1	ok
fr_s1_ar_d3_fam02_fr_beh_k02	session_3486ea5a	1	1	1	ok
fr_s1_ar_d3_fam02_fr_beh_k06	session_7361866b	1	1	1	ok
fr_s1_ar_d3_fam02_fr_beh_k12	session_34ec69e8	1	1	1	ok
fr_s1_ar_d3_fam02_fr_beh_k20	session_86a58d30	1	1	1	ok
fr_s1_ar_d3_fam02_rf_beh_k02	session_2e02bd49	1	1	1	ok
fr_s1_ar_d3_fam02_rf_beh_k06	session_65a286d8	1	1	1	ok
fr_s1_ar_d3_fam02_rf_beh_k12	session_126bc5fb	1	1	1	ok
fr_s1_ar_d3_fam02_rf_beh_k20	session_f052d362	1	1	1	ok
fr_s1_ar_d3_fam03_fr_beh_k02	session_dc534f51	1	1	1	ok
fr_s1_ar_d3_fam03_fr_beh_k06	session_cbbb08c4	1	1	1	ok
fr_s1_ar_d3_fam03_fr_beh_k12	session_4271c40d	1	1	1	ok
fr_s1_ar_d3_fam03_fr_beh_k20	session_4196985a	1	1	1	ok
fr_s1_ar_d3_fam03_rf_beh_k02	session_d1e5b11d	1	1	1	ok
fr_s1_ar_d3_fam03_rf_beh_k06	session_d2d271ee	1	1	1	ok
fr_s1_ar_d3_fam03_rf_beh_k12	session_878f44ee	1	1	1	ok
fr_s1_ar_d3_fam03_rf_beh_k20	session_b93f794a	1	1	1	ok
fr_s1_ar_d3_fam04_fr_beh_k02	session_18eca132	1	1	1	ok
fr_s1_ar_d3_fam04_fr_beh_k06	session_40d12865	1	1	1	ok
fr_s1_ar_d3_fam04_fr_beh_k12	session_c7c9b68d	1	1	1	ok
fr_s1_ar_d3_fam04_fr_beh_k20	session_6e7a65fc	1	1	1	ok
fr_s1_ar_d3_fam04_rf_beh_k02	session_baac8ce5	1	1	1	ok
fr_s1_ar_d3_fam04_rf_beh_k06	session_bbbfa728	1	1	1	ok
fr_s1_ar_d3_fam04_rf_beh_k12	session_dbc98797	1	1	1	ok
fr_s1_ar_d3_fam04_rf_beh_k20	session_9d0d1d77	1	1	1	ok
fr_s1_ar_d3_fam05_fr_beh_k02	session_aaf15ee1	1	1	1	ok
fr_s1_ar_d3_fam05_fr_beh_k06	session_71f0c7e7	1	1	1	ok
fr_s1_ar_d3_fam05_fr_beh_k12	session_d5282f5f	1	1	1	ok
fr_s1_ar_d3_fam05_fr_beh_k20	session_c131e45d	1	1	1	ok
fr_s1_ar_d3_fam05_rf_beh_k02	session_c34fd095	1	1	1	ok
fr_s1_ar_d3_fam05_rf_beh_k06	session_ac0acdff	1	1	1	ok
fr_s1_ar_d3_fam05_rf_beh_k12	session_87ec30a6	1	1	1	ok
fr_s1_ar_d3_fam05_rf_beh_k20	session_8d758bdf	1	1	1	ok
fr_s1_ar_d3_fam06_fr_beh_k02	session_bc745dc5	1	1	1	ok
fr_s1_ar_d3_fam06_fr_beh_k06	session_ab927049	1	1	1	ok
fr_s1_ar_d3_fam06_fr_beh_k12	session_1fd7acfd	1	1	1	ok
fr_s1_ar_d3_fam06_fr_beh_k20	session_a834d681	1	1	1	ok
fr_s1_ar_d3_fam06_rf_beh_k02	session_f29d4342	1	1	1	ok
fr_s1_ar_d3_fam06_rf_beh_k06	session_8b0b8e78	1	1	1	ok
fr_s1_ar_d3_fam06_rf_beh_k12	session_659218a8	1	1	1	ok
fr_s1_ar_d3_fam06_rf_beh_k20	session_35f77c97	1	1	1	ok
fr_s1_ar_d3_fam07_fr_beh_k02	session_b56afa8c	1	1	1	ok
fr_s1_ar_d3_fam07_fr_beh_k06	session_4e309a74	1	1	1	ok
