set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
fr_s1_ar_d3_fam00_fr_beh_k02	session_901a60a3	1	1	1	ok	2048	2026-08-29	1	8872	238.0	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_fr_beh_k06	session_e1afbc9b	1	1	1	ok	2048	2026-08-29	1	9105	246.4	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_fr_beh_k12	session_97a8e890	1	1	1	ok	2048	2026-08-29	1	9055	321.5	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_fr_beh_k20	session_a5effb30	1	1	1	ok	2048	2026-08-29	1	1237	83.4	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_rf_beh_k02	session_ec8f512c	1	1	1	ok	2048	2026-08-29	1	3253	110.8	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_rf_beh_k06	session_722cfac9	1	1	1	ok	2048	2026-08-29	1	3892	88.8	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_rf_beh_k12	session_923f6ec9	1	1	1	ok	2048	2026-08-29	1	8887	260.4	1	1.0	1.0	20260908
fr_s1_ar_d3_fam00_rf_beh_k20	session_4022a39d	1	1	1	ok	2048	2026-08-29	1	9032	292.5	1	1.0	1.0	20260908
fr_s1_ar_d3_fam01_fr_beh_k02	session_a9392e44	1	1	1	ok	2048	2026-08-29	1	6854	175.2	1	1.0	1.0	20260908
fr_s1_ar_d3_fam01_fr_beh_k06	session_972e0774	1	1	1	ok	2048	2026-08-29	1	2773	89.9	1	1.0	1.0	20260908
fr_s1_ar_d3_fam01_fr_beh_k12	session_d1ac3ac7	1	1	1	ok	2048	2026-08-29	1	5440	149.0	1	1.0	1.0	20260908
fr_s1_ar_d3_fam01_fr_beh_k20	session_2d353fd9	1	1	1	ok	2048	2026-08-29	1	3064	121.9	1	1.0	1.0	20260908
fr_s1_ar_d3_fam01_rf_beh_k02	session_02258205	1	1	1	ok	2048	2026-08-29	1	2305	54.7	1	1.0	1.0	20260908
