set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
fr_s1_ar_d3_fam00_fr_beh_k02	session_069e7c97	1	1	1	ok	2048	2026-08-29	1	4133	398.9
fr_s1_ar_d3_fam00_fr_beh_k06	session_4a5023d3	1	1	1	ok	2048	2026-08-29	1	2525	293.1
fr_s1_ar_d3_fam00_fr_beh_k12	session_d3ebda11	1	1	1	ok	2048	2026-08-29	0	10362	679.3
fr_s1_ar_d3_fam00_fr_beh_k20	session_d1834bc3	1	1	1	ok	2048	2026-08-29	1	1824	217.6
fr_s1_ar_d3_fam00_rf_beh_k02	session_36df6155	1	1	1	ok	2048	2026-08-29	1	2423	159.7
fr_s1_ar_d3_fam00_rf_beh_k06	session_ad543bc0	1	1	1	ok	2048	2026-08-29	1	2369	164.0
fr_s1_ar_d3_fam00_rf_beh_k12	session_fa16f690	1	1	1	ok	2048	2026-08-29	1	4280	283.4
fr_s1_ar_d3_fam00_rf_beh_k20	session_7a15b1aa	1	1	1	ok	2048	2026-08-29	1	5328	377.1
fr_s1_ar_d3_fam01_fr_beh_k02	session_6c0342e6	1	1	1	ok	2048	2026-08-29	1	5808	276.2
fr_s1_ar_d3_fam01_fr_beh_k06	session_734dffe7	1	1	1	ok	2048	2026-08-29	1	2081	139.9
fr_s1_ar_d3_fam01_fr_beh_k12	session_762a641e	1	1	1	ok	2048	2026-08-29	0	9957	460.0
fr_s1_ar_d3_fam01_fr_beh_k20	session_a5bf45d1	1	1	1	ok	2048	2026-08-29	1	2299	233.9
fr_s1_ar_d3_fam01_rf_beh_k02	session_0f1e4874	1	1	1	ok	2048	2026-08-29	0	9947	248.8
fr_s1_ar_d3_fam01_rf_beh_k06	session_bd72e8da	1	1	1	ok	2048	2026-08-29	1	5055	168.7
fr_s1_ar_d3_fam01_rf_beh_k12	session_4cb7df1c	1	1	1	ok	2048	2026-08-29	1	3177	146.9
fr_s1_ar_d3_fam01_rf_beh_k20	session_805b75c2	1	1	1	ok	2048	2026-08-29	1	2752	198.3
fr_s1_ar_d3_fam02_fr_beh_k02	session_ee975a99	1	1	1	ok	2048	2026-08-29	1	7331	247.9
fr_s1_ar_d3_fam02_fr_beh_k06	session_2c9df1d0	1	1	1	ok	2048	2026-08-29	1	1929	91.7
fr_s1_ar_d3_fam02_fr_beh_k12	session_e053f0fe	1	1	1	ok	2048	2026-08-29	1	2092	118.5
fr_s1_ar_d3_fam02_fr_beh_k20	session_e8be6a3a	1	1	1	ok	2048	2026-08-29	1	1946	151.9
fr_s1_ar_d3_fam02_rf_beh_k02	session_7cbb0178	1	1	1	ok	2048	2026-08-29	0	9963	310.6
fr_s1_ar_d3_fam02_rf_beh_k06	session_a1f55a4a	1	1	1	ok	2048	2026-08-29	0	9837	272.6
fr_s1_ar_d3_fam02_rf_beh_k12	session_ba31aa65	1	1	1	ok	2048	2026-08-29	1	1117	70.7
fr_s1_ar_d3_fam02_rf_beh_k20	session_d6d66f46	1	1	1	ok	2048	2026-08-29	0	9315	399.0
fr_s1_ar_d3_fam03_fr_beh_k02	session_f419b7e9	1	1	1	ok	2048	2026-08-29	1	531	63.2
fr_s1_ar_d3_fam03_fr_beh_k06	session_5f936213	1	1	1	ok	2048	2026-08-29	0	9942	275.5
fr_s1_ar_d3_fam03_fr_beh_k12	session_37de48a8	1	1	1	ok	2048	2026-08-29	1	629	70.8
fr_s1_ar_d3_fam03_fr_beh_k20	session_3affcb99	1	1	1	ok	2048	2026-08-29	1	565	100.6
fr_s1_ar_d3_fam03_rf_beh_k02	session_0f4993f6	1	1	1	ok	2048	2026-08-29	1	6553	181.5
