set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds	sampled	temperature	top_p	seed
tank_d3_fam00_ab_beh_k02	session_228ddf69	1	1	1	ok	2048	2026-08-29	1	3146	55.4	1	1.0	1.0	20260907
tank_d3_fam00_ab_beh_k06	session_12bcc347	1	1	1	ok	2048	2026-08-29	1	3785	64.2	1	1.0	1.0	20260907
tank_d3_fam00_ab_beh_k12	session_4678b278	1	1	1	ok	2048	2026-08-29	1	6629	120.7	1	1.0	1.0	20260907
tank_d3_fam00_ab_beh_k20	session_bafed2f0	1	1	1	ok	2048	2026-08-29	1	2105	75.4	1	1.0	1.0	20260907
tank_d3_fam00_ba_beh_k02	session_af4762ec	1	1	1	ok	2048	2026-08-29	1	1350	23.1	1	1.0	1.0	20260907
tank_d3_fam00_ba_beh_k06	session_3a914e19	1	1	1	ok	2048	2026-08-29	1	1052	28.3	1	1.0	1.0	20260907
tank_d3_fam00_ba_beh_k12	session_3a8e8865	1	1	1	ok	2048	2026-08-29	1	2189	52.9	1	1.0	1.0	20260907
tank_d3_fam00_ba_beh_k20	session_4c8dc391	1	1	1	ok	2048	2026-08-29	1	1104	62.5	1	1.0	1.0	20260907
tank_d3_fam01_ab_beh_k02	session_ae691f4c	1	1	1	ok	2048	2026-08-29	1	2277	32.3	1	1.0	1.0	20260907
tank_d3_fam01_ab_beh_k06	session_0e63f1d8	1	1	1	ok	2048	2026-08-29	1	1114	29.7	1	1.0	1.0	20260907
tank_d3_fam01_ab_beh_k12	session_f058dc4b	1	1	1	ok	2048	2026-08-29	1	2421	68.0	1	1.0	1.0	20260907
tank_d3_fam01_ab_beh_k20	session_10141d5b	1	1	1	ok	2048	2026-08-29	1	4143	121.3	1	1.0	1.0	20260907
tank_d3_fam01_ba_beh_k02	session_553f4cfa	1	1	1	ok	2048	2026-08-29	1	1480	46.4	1	1.0	1.0	20260907
tank_d3_fam01_ba_beh_k06	session_eece9c05	1	1	1	ok	2048	2026-08-29	1	1724	57.6	1	1.0	1.0	20260907
tank_d3_fam01_ba_beh_k12	session_9b16f81f	1	1	1	ok	2048	2026-08-29	1	2242	80.9	1	1.0	1.0	20260907
tank_d3_fam01_ba_beh_k20	session_73dffc9c	1	1	1	ok	2048	2026-08-29	1	3142	98.8	1	1.0	1.0	20260907
tank_d3_fam02_ab_beh_k02	session_34592035	1	1	1	ok	2048	2026-08-29	1	2605	62.7	1	1.0	1.0	20260907
tank_d3_fam02_ab_beh_k06	session_939f09ce	1	1	1	ok	2048	2026-08-29	1	2444	71.7	1	1.0	1.0	20260907
tank_d3_fam02_ab_beh_k12	session_0833ab2a	1	1	1	ok	2048	2026-08-29	1	4474	119.3	1	1.0	1.0	20260907
tank_d3_fam02_ab_beh_k20	session_c2fad090	1	1	1	ok	2048	2026-08-29	1	3365	116.2	1	1.0	1.0	20260907
tank_d3_fam02_ba_beh_k02	session_e58c096b	1	1	1	ok	2048	2026-08-29	1	2738	61.8	1	1.0	1.0	20260907
tank_d3_fam02_ba_beh_k06	session_7d80c86f	1	1	1	ok	2048	2026-08-29	1	3585	87.8	1	1.0	1.0	20260907
