set	session	probes	has_gen	has_lp	status	cap	pinned_date	reached_final	gen_chars	seconds
tank_d3_fam00_ab_beh_k02	session_cc04ed79	1	1	1	ok	2048	2026-08-29	1	2617	46.3
tank_d3_fam00_ab_beh_k06	session_1ca22e07	1	1	1	ok	2048	2026-08-29	1	2430	44.9
tank_d3_fam00_ab_beh_k12	session_d35163b8	1	1	1	ok	2048	2026-08-29	1	2814	68.5
tank_d3_fam00_ab_beh_k20	session_cad415c9	1	1	1	ok	2048	2026-08-29	1	1621	58.4
tank_d3_fam00_ba_beh_k02	session_caa0cd3e	1	1	1	ok	2048	2026-08-29	1	3089	45.7
tank_d3_fam00_ba_beh_k06	session_f6ce6831	1	1	1	ok	2048	2026-08-29	1	3043	55.9
tank_d3_fam00_ba_beh_k12	session_203f2602	1	1	1	ok	2048	2026-08-29	1	1889	39.0
tank_d3_fam00_ba_beh_k20	session_e84e8186	1	1	1	ok	2048	2026-08-29	1	2749	81.1
tank_d3_fam01_ab_beh_k02	session_02ffff33	1	1	1	ok	2048	2026-08-29	0	8468	111.1
tank_d3_fam01_ab_beh_k06	session_ce78bccc	1	1	1	ok	2048	2026-08-29	1	5086	70.7
tank_d3_fam01_ab_beh_k12	session_9a24e617	1	1	1	ok	2048	2026-08-29	0	9449	124.9
tank_d3_fam01_ab_beh_k20	session_0b094a48	1	1	1	ok	2048	2026-08-29	1	3182	71.9
tank_d3_fam01_ba_beh_k02	session_15744287	1	1	1	ok	2048	2026-08-29	1	2312	36.8
tank_d3_fam01_ba_beh_k06	session_3ec1e5f8	1	1	1	ok	2048	2026-08-29	1	5312	74.0
tank_d3_fam01_ba_beh_k12	session_da80036f	1	1	1	ok	2048	2026-08-29	1	3733	60.7
tank_d3_fam01_ba_beh_k20	session_c65398b1	1	1	1	ok	2048	2026-08-29	1	3394	70.9
tank_d3_fam02_ab_beh_k02	session_d7362ab3	1	1	1	ok	2048	2026-08-29	1	4821	71.3
tank_d3_fam02_ab_beh_k06	session_de5b8f72	1	1	1	ok	2048	2026-08-29	1	3460	51.6
tank_d3_fam02_ab_beh_k12	session_0e8ee320	1	1	1	ok	2048	2026-08-29	1	4251	64.4
tank_d3_fam02_ab_beh_k20	session_1f99242d	1	1	1	ok	2048	2026-08-29	1	3636	93.4
tank_d3_fam02_ba_beh_k02	session_ca6d4c0d	1	1	1	ok	2048	2026-08-29	1	3533	49.4
tank_d3_fam02_ba_beh_k06	session_913095a8	1	1	1	ok	2048	2026-08-29	0	9083	105.4
tank_d3_fam02_ba_beh_k12	session_044a13d3	1	1	1	ok	2048	2026-08-29	1	8638	102.5
