set	session	probes	status
fr_d6_fam00_k00_pure_A	session_2d87f207	1	ok
fr_d6_fam00_k02_B_recent	session_27f9b46a	1	ok
fr_d6_fam00_k02_A_recent	session_02488c3b	1	ok
fr_d6_fam00_k04_B_recent	session_c4286621	1	ok
fr_d6_fam00_k04_A_recent	session_5c9dae88	1	ok
fr_d6_fam00_k06_B_recent	session_0b6a2a31	1	ok
fr_d6_fam00_k06_A_recent	session_60d47cff	1	ok
fr_d6_fam00_k08_B_recent	session_a83faee2	1	ok
fr_d6_fam00_k08_A_recent	session_e42eff42	1	ok
fr_d6_fam00_k10_B_recent	session_cb9618d0	1	ok
fr_d6_fam00_k10_A_recent	session_989e2fec	1	ok
fr_d6_fam00_k12_B_recent	session_c1fe06e9	1	ok
fr_d6_fam00_k12_A_recent	session_d61d0dd4	1	ok
fr_d6_fam00_k14_B_recent	session_d9d86667	1	ok
fr_d6_fam00_k14_A_recent	session_6b6b7501	1	ok
fr_d6_fam00_k16_B_recent	session_fb20c9d1	1	ok
fr_d6_fam00_k16_A_recent	session_0ae4dd5d	1	ok
fr_d6_fam00_k18_B_recent	session_d248a534	1	ok
fr_d6_fam00_k18_A_recent	session_92c23267	1	ok
fr_d6_fam00_k20_pure_B	session_0ba099c6	1	ok
fr_d6_fam00_k10_interleaved	session_3aa9545d	1	ok
fr_d6_fam01_k00_pure_A	session_bc10dcd6	1	ok
fr_d6_fam01_k02_B_recent	session_2b8c689b	1	ok
fr_d6_fam01_k02_A_recent	session_27a56c61	1	ok
fr_d6_fam01_k04_B_recent	session_66f12ae2	1	ok
fr_d6_fam01_k04_A_recent	session_f7b7a85d	1	ok
fr_d6_fam01_k06_B_recent	session_3741605c	1	ok
fr_d6_fam01_k06_A_recent	session_bb6f0db1	1	ok
fr_d6_fam01_k08_B_recent	session_13f74ecf	1	ok
fr_d6_fam01_k08_A_recent	session_07e865ad	1	ok
fr_d6_fam01_k10_B_recent	session_543148cc	1	ok
fr_d6_fam01_k10_A_recent	session_cade7e8c	1	ok
fr_d6_fam01_k12_B_recent	session_557a1408	1	ok
fr_d6_fam01_k12_A_recent	session_ac55ab29	1	ok
fr_d6_fam01_k14_B_recent	session_19bc9ef9	1	ok
fr_d6_fam01_k14_A_recent	session_fc0219b2	1	ok
fr_d6_fam01_k16_B_recent	session_0d4a269c	1	ok
fr_d6_fam01_k16_A_recent	session_3bbffdd7	1	ok
fr_d6_fam01_k18_B_recent	session_e7fbac9f	1	ok
fr_d6_fam01_k18_A_recent	session_8d7352a4	1	ok
fr_d6_fam01_k20_pure_B	session_632b33b3	1	ok
fr_d6_fam01_k10_interleaved	session_bf609261	1	ok
fr_d6_fam02_k00_pure_A	session_fd9b3e4a	1	ok
fr_d6_fam02_k02_B_recent	session_0ac57d2b	1	ok
fr_d6_fam02_k02_A_recent	session_515c0c99	1	ok
fr_d6_fam02_k04_B_recent	session_a035d0f6	1	ok
fr_d6_fam02_k04_A_recent	session_36d7dcd9	1	ok
fr_d6_fam02_k06_B_recent	session_c820f693	1	ok
fr_d6_fam02_k06_A_recent	session_de96589c	1	ok
fr_d6_fam02_k08_B_recent	session_6871d70d	1	ok
fr_d6_fam02_k08_A_recent	session_4c3ef11b	1	ok
fr_d6_fam02_k10_B_recent	session_5b0fc38b	1	ok
fr_d6_fam02_k10_A_recent	session_f904f195	1	ok
fr_d6_fam02_k12_B_recent	session_af73ea44	1	ok
fr_d6_fam02_k12_A_recent	session_e9534f3f	1	ok
fr_d6_fam02_k14_B_recent	session_463d0a34	1	ok
fr_d6_fam02_k14_A_recent	session_bf59ce8d	1	ok
fr_d6_fam02_k16_B_recent	session_1f0c2fca	1	ok
fr_d6_fam02_k16_A_recent	session_4b3ba92d	1	ok
fr_d6_fam02_k18_B_recent	session_a795a6f1	1	ok
fr_d6_fam02_k18_A_recent	session_8b985312	1	ok
fr_d6_fam02_k20_pure_B	session_61d51005	1	ok
fr_d6_fam02_k10_interleaved	session_a23c9e93	1	ok
fr_d6_fam03_k00_pure_A	session_36575cc1	1	ok
fr_d6_fam03_k02_B_recent	session_b6a04e9c	1	ok
fr_d6_fam03_k02_A_recent	session_f4a9c4d3	1	ok
fr_d6_fam03_k04_B_recent	session_a52ac799	1	ok
fr_d6_fam03_k04_A_recent	session_8ac8b06b	1	ok
fr_d6_fam03_k06_B_recent	session_87dffcce	1	ok
fr_d6_fam03_k06_A_recent	session_57934cc5	1	ok
fr_d6_fam03_k08_B_recent	session_4b8c04ac	1	ok
fr_d6_fam03_k08_A_recent	session_3c074f32	1	ok
fr_d6_fam03_k10_B_recent	session_a60596c5	1	ok
fr_d6_fam03_k10_A_recent	session_e026ee63	1	ok
fr_d6_fam03_k12_B_recent	session_9da21d27	1	ok
fr_d6_fam03_k12_A_recent	session_3b9e29c7	1	ok
fr_d6_fam03_k14_B_recent	session_d6677631	1	ok
fr_d6_fam03_k14_A_recent	session_688f8d86	1	ok
