set	session	probes	status
tank_d6_fam00_k00_pure_A	session_1ae1a07e	1	ok
tank_d6_fam00_k02_B_recent	session_9c70dca4	1	ok
tank_d6_fam00_k02_A_recent	session_f17a1327	1	ok
tank_d6_fam00_k04_B_recent	session_faffc49a	1	ok
tank_d6_fam00_k04_A_recent	session_94f58632	1	ok
tank_d6_fam00_k06_B_recent	session_5d96fa00	1	ok
tank_d6_fam00_k06_A_recent	session_d2a851d0	1	ok
tank_d6_fam00_k08_B_recent	session_6904b9d2	1	ok
tank_d6_fam00_k08_A_recent	session_dc295ec3	1	ok
tank_d6_fam00_k10_B_recent	session_6837f59c	1	ok
tank_d6_fam00_k10_A_recent	session_8599c11d	1	ok
tank_d6_fam00_k12_B_recent	session_9e254853	1	ok
tank_d6_fam00_k12_A_recent	session_6856b061	1	ok
tank_d6_fam00_k14_B_recent	session_cf88023a	1	ok
tank_d6_fam00_k14_A_recent	session_f0841d7d	1	ok
tank_d6_fam00_k16_B_recent	session_f3ae4a42	1	ok
tank_d6_fam00_k16_A_recent	session_3c272981	1	ok
tank_d6_fam00_k18_B_recent	session_0a357109	1	ok
tank_d6_fam00_k18_A_recent	session_62cc7837	1	ok
tank_d6_fam00_k20_pure_B	session_9d75cb88	1	ok
tank_d6_fam00_k10_interleaved	session_a0e25a80	1	ok
tank_d6_fam01_k00_pure_A	session_e637bfd1	1	ok
tank_d6_fam01_k02_B_recent	session_f851f868	1	ok
tank_d6_fam01_k02_A_recent	session_46041929	1	ok
tank_d6_fam01_k04_B_recent	session_0af46af7	1	ok
tank_d6_fam01_k04_A_recent	session_aca25a37	1	ok
tank_d6_fam01_k06_B_recent	session_7c5965a8	1	ok
tank_d6_fam01_k06_A_recent	session_757ac2c7	1	ok
tank_d6_fam01_k08_B_recent	session_c8578579	1	ok
tank_d6_fam01_k08_A_recent	session_01e87d36	1	ok
tank_d6_fam01_k10_B_recent	session_7e787636	1	ok
tank_d6_fam01_k10_A_recent	session_98944395	1	ok
tank_d6_fam01_k12_B_recent	session_4d28bc9e	1	ok
tank_d6_fam01_k12_A_recent	session_f81e04d8	1	ok
tank_d6_fam01_k14_B_recent	session_84a5a099	1	ok
tank_d6_fam01_k14_A_recent	session_8852bb16	1	ok
tank_d6_fam01_k16_B_recent	session_224239d7	1	ok
tank_d6_fam01_k16_A_recent	session_00919e07	1	ok
tank_d6_fam01_k18_B_recent	session_51a1d5e7	1	ok
tank_d6_fam01_k18_A_recent	session_42f48329	1	ok
tank_d6_fam01_k20_pure_B	session_92b8b4e3	1	ok
tank_d6_fam01_k10_interleaved	session_25b97f37	1	ok
tank_d6_fam02_k00_pure_A	session_02cf7977	1	ok
tank_d6_fam02_k02_B_recent	session_af8adee8	1	ok
tank_d6_fam02_k02_A_recent	session_c01d1dfb	1	ok
tank_d6_fam02_k04_B_recent	session_4ccb2826	1	ok
tank_d6_fam02_k04_A_recent	session_d6a97766	1	ok
tank_d6_fam02_k06_B_recent	session_8b547250	1	ok
tank_d6_fam02_k06_A_recent	session_a5445308	1	ok
tank_d6_fam02_k08_B_recent	session_a02866ed	1	ok
tank_d6_fam02_k08_A_recent	session_30e49858	1	ok
tank_d6_fam02_k10_B_recent	session_2f9863c1	1	ok
tank_d6_fam02_k10_A_recent	session_e0b7de36	1	ok
tank_d6_fam02_k12_B_recent	session_2503a28a	1	ok
tank_d6_fam02_k12_A_recent	session_05bcb7dc	1	ok
tank_d6_fam02_k14_B_recent	session_6e2ec7b0	1	ok
tank_d6_fam02_k14_A_recent	session_1d762c14	1	ok
tank_d6_fam02_k16_B_recent	session_4c24d826	1	ok
tank_d6_fam02_k16_A_recent	session_78385410	1	ok
tank_d6_fam02_k18_B_recent	session_e2dd5e98	1	ok
tank_d6_fam02_k18_A_recent	session_0365b85b	1	ok
tank_d6_fam02_k20_pure_B	session_388497bd	1	ok
tank_d6_fam02_k10_interleaved	session_559e6421	1	ok
tank_d6_fam03_k00_pure_A	session_7f66df8d	1	ok
tank_d6_fam03_k02_B_recent	session_5d2e8c1b	1	ok
tank_d6_fam03_k02_A_recent	session_ab7cb73e	1	ok
tank_d6_fam03_k04_B_recent	session_f71b7d4b	1	ok
tank_d6_fam03_k04_A_recent	session_42d280d1	1	ok
tank_d6_fam03_k06_B_recent	session_4b36343a	1	ok
tank_d6_fam03_k06_A_recent	session_6d703462	1	ok
tank_d6_fam03_k08_B_recent	session_aa869f64	1	ok
tank_d6_fam03_k08_A_recent	session_61829d28	1	ok
tank_d6_fam03_k10_B_recent	session_6a3ce4ee	1	ok
tank_d6_fam03_k10_A_recent	session_126afb3f	1	ok
tank_d6_fam03_k12_B_recent	session_73b7c5bc	1	ok
tank_d6_fam03_k12_A_recent	session_477ee96e	1	ok
tank_d6_fam03_k14_B_recent	session_05585986	1	ok
tank_d6_fam03_k14_A_recent	session_635a3a5f	1	ok
tank_d6_fam03_k16_B_recent	session_afcc7c5a	1	ok
tank_d6_fam03_k16_A_recent	session_9655ea7d	1	ok
tank_d6_fam03_k18_B_recent	session_fd5491a7	1	ok
tank_d6_fam03_k18_A_recent	session_66c3a018	1	ok
tank_d6_fam03_k20_pure_B	session_4ef14e9e	1	ok
