session	set	reason	bytes
session_000ae62a	tank_d3_fam02_ab_ck40	campaign_junk	119358391
session_025cbb67	tank_d4_fam08_b_ck30	campaign_junk	65374125
session_02dd436e	tank_d4_fam06_b_ck21	campaign_junk	7354522
session_05e0f322	tank_d4_fam10_b_ck40	campaign_junk	116051568
session_0713feb4	tank_d3_fam01_ab_ck40	campaign_junk	621
session_097ff043	tank_d3_fam08_ab_ck21	campaign_junk	9741726
session_0cb0fa1f	tank_d4_fam00_b_ck30	campaign_junk	6527
session_110aee42	tank_d3_fam08_ab_ck40	campaign_junk	131494107
session_12867419	tank_d3_fam07_ab_ck20	campaign_junk	56303908
session_12bd2d71	tank_d3_fam00_ba_ck40	campaign_junk	6536
session_1414c58c	tank_d3_fam09_ba_ck30	campaign_junk	62589332
session_154fa9d9	tank_d4_fam04_b_ck21	campaign_junk	8901089
session_16978342	tank_d3_fam00_ba_ck20	campaign_junk	6536
session_19f8feba	tank_d3_fam05_ba_ck20	campaign_junk	58187988
session_1aa920c7	tank_d3_fam07_ba_ck20	campaign_junk	55188456
session_1bd98d0e	tank_d3_fam10_ab_ck40	campaign_junk	122372143
session_1f0816d6	tank_d3_fam07_ab_ck21	campaign_junk	9182423
session_1f445b1b	tank_d4_fam04_a_ck30	campaign_junk	67882889
session_23d6ec62	tank_d3_fam00_ba_ck40	campaign_junk	6536
session_25620a6e	tank_d4_fam04_a_ck21	campaign_junk	8903815
session_2b85b749	tank_d3_fam05_ba_ck40	campaign_junk	130994564
session_2b92e082	tank_d3_fam06_ab_ck40	campaign_junk	131753429
session_2c460303	tank_d3_fam00_ab_ck30	campaign_junk	6536
session_2e9ad333	tank_d3_fam10_ab_ck20	campaign_junk	50449058
session_2eb38659	tank_d4_fam02_b_ck21	campaign_junk	10857012
session_2f0966be	tank_d3_fam04_ab_ck20	campaign_junk	53795514
session_33c70ea0	tank_d4_fam08_a_ck30	campaign_junk	62308433
session_37f22f5d	tank_d4_fam06_a_ck40	campaign_junk	131818150
session_3b8017ec	tank_d3_fam01_ab_ck20	campaign_junk	6536
session_3c6e58f2	tank_d3_fam10_ab_ck30	campaign_junk	62308976
session_3dc7bce0	tank_d3_fam06_ba_ck21	campaign_junk	7847171
session_409d5325	tank_d3_fam05_ba_ck30	campaign_junk	64884224
session_418d8064	tank_d3_fam09_ba_ck20	campaign_junk	55467109
session_4433b9ea	tank_d3_fam00_ab_ck20	campaign_junk	6536
session_44603066	tank_d3_fam07_ba_ck40	campaign_junk	140332537
session_47d46694	tank_d4_fam04_a_ck20	campaign_junk	51844807
session_48c619b3	tank_d3_fam03_ba_ck21	campaign_junk	10019816
session_490cd81d	tank_d3_fam09_ab_ck40	campaign_junk	131686910
session_4a7c263e	tank_d3_fam02_ba_ck21	campaign_junk	9739594
session_4ab3b54c	tank_d3_fam01_ab_ck20	campaign_junk	6536
session_4df95ff6	tank_d4_fam00_a_ck40	campaign_junk	6527
session_4f0b04c1	tank_d3_fam04_ba_ck40	campaign_junk	130101099
session_501cca32	tank_d4_fam00_b_ck20	campaign_junk	6527
session_50b3815e	tank_d3_fam11_ba_ck21	campaign_junk	8406559
session_50f2dda7	tank_d3_fam08_ba_ck21	campaign_junk	8409542
session_53424036	tank_d3_fam11_ab_ck40	campaign_junk	114943168
session_534a1c0b	tank_d4_fam10_a_ck21	campaign_junk	8127885
session_54361f93	tank_d3_fam05_ab_ck40	campaign_junk	135096322
session_545407ca	tank_d3_fam05_ab_ck20	campaign_junk	55187764
session_548426f4	tank_d3_fam10_ba_ck30	campaign_junk	61749335
session_55d263e1	tank_d3_fam10_ba_ck40	campaign_junk	121472857
session_56c7c1f9	tank_d3_fam06_ba_ck40	campaign_junk	123680947
session_5a639e2f	tank_d4_fam06_a_ck30	campaign_junk	68372878
session_5d8d8b41	tank_d3_fam00_ab_ck20	campaign_junk	6536
session_6652b069	tank_d4_fam02_b_ck30	campaign_junk	63423657
session_69e83082	tank_d3_fam00_ba_ck30	campaign_junk	6536
session_6bd5cbaf	tank_d3_fam07_ab_ck30	campaign_junk	65867420
session_6ec078ec	tank_d3_fam02_ba_ck20	campaign_junk	49613544
session_70e73f30	tank_d3_fam00_ab_ck40	campaign_junk	6536
session_7138188f	tank_d3_fam00_ba_ck30	campaign_junk	6536
session_71b94478	tank_d4_fam02_b_ck20	campaign_junk	52122688
session_723c608e	tank_d3_fam11_ba_ck40	campaign_junk	124346226
session_727b8c82	tank_d3_fam06_ab_ck21	campaign_junk	6789832
session_75636ed4	tank_d3_fam11_ab_ck20	campaign_junk	54628419
session_7622d933	tank_d3_fam11_ba_ck30	campaign_junk	59093839
session_771a4c22	tank_d4_fam06_b_ck30	campaign_junk	65586152
session_7cafa5f7	tank_d3_fam05_ba_ck21	campaign_junk	8689223
session_7d2b6ab1	tank_d3_fam00_ab_ck30	campaign_junk	6536
session_7f51d43a	tank_d4_fam04_b_ck30	campaign_junk	65650367
session_8406ad99	tank_d4_fam00_a_ck30	campaign_junk	6527
session_86001513	tank_d3_fam07_ab_ck40	campaign_junk	133421386
session_896f4a80	tank_d3_fam00_ab_ck40	campaign_junk	6536
session_8a86c782	tank_d4_fam00_b_ck30	campaign_junk	6527
session_8b267db3	tank_d3_fam03_ab_ck40	campaign_junk	133089264
session_8d19a0e4	tank_d4_fam00_a_ck30	campaign_junk	6527
session_8ee91ef5	tank_d4_fam00_a_ck20	campaign_junk	6527
session_8f383e09	tank_d4_fam06_a_ck21	campaign_junk	7848378
session_8ff79f1d	tank_d3_fam04_ab_ck21	campaign_junk	10579845
session_9241135b	tank_d3_fam10_ba_ck20	campaign_junk	50171856
session_95ff5bdf	tank_d3_fam01_ab_ck21	campaign_junk	8125093
session_9706e8fb	tank_d3_fam06_ab_ck30	campaign_junk	65585310
session_974b72fa	tank_d4_fam00_b_ck20	campaign_junk	6527
session_988eab96	tank_d3_fam08_ab_ck20	campaign_junk	57137619
session_9a500aa9	tank_d3_fam09_ab_ck20	campaign_junk	51285855
