set	session	positions	status
fr_s1_th_d3_fam00_fr_ck20	session_0585525f	189	ok
fr_s1_th_d3_fam00_fr_ck21	session_0bb69817	31	ok
fr_s1_th_d3_fam00_fr_ck30	session_2bad681d	234	ok
fr_s1_th_d3_fam00_fr_ck40	session_24590dc7	448	ok
fr_s1_th_d3_fam00_rf_ck20	session_02e21cd4	184	ok
fr_s1_th_d3_fam00_rf_ck21	session_adfc6010	25	ok
fr_s1_th_d3_fam00_rf_ck30	session_3cfa2fa1	229	ok
fr_s1_th_d3_fam00_rf_ck40	session_a575941a	463	ok
fr_s1_th_d3_fam01_fr_ck20	session_b04804cf	197	ok
fr_s1_th_d3_fam01_fr_ck21	session_4fa2b9a8	32	ok
fr_s1_th_d3_fam01_fr_ck30	session_325b1e13	225	ok
fr_s1_th_d3_fam01_fr_ck40	session_bb904610	438	ok
fr_s1_th_d3_fam01_rf_ck20	session_0007eea2	180	ok
fr_s1_th_d3_fam01_rf_ck21	session_b6758c77	28	ok
fr_s1_th_d3_fam01_rf_ck30	session_0987cb8f	226	ok
fr_s1_th_d3_fam01_rf_ck40	session_3d31aac7	463	ok
fr_s1_th_d3_fam02_fr_ck20	session_9ede6345	191	ok
fr_s1_th_d3_fam02_fr_ck21	session_d03cba41	34	ok
fr_s1_th_d3_fam02_fr_ck30	session_1293eaf5	216	ok
fr_s1_th_d3_fam02_fr_ck40	session_b29a0892	430	ok
fr_s1_th_d3_fam02_rf_ck20	session_c4479ce0	177	ok
fr_s1_th_d3_fam02_rf_ck21	session_7f87a760	28	ok
fr_s1_th_d3_fam02_rf_ck30	session_6ebea0c2	227	ok
fr_s1_th_d3_fam02_rf_ck40	session_4b35f5fe	450	ok
fr_s1_th_d3_fam03_fr_ck20	session_5b430c30	200	ok
fr_s1_th_d3_fam03_fr_ck21	session_943103dc	26	ok
fr_s1_th_d3_fam03_fr_ck30	session_8b2051b2	231	ok
fr_s1_th_d3_fam03_fr_ck40	session_ab5b040f	450	ok
fr_s1_th_d3_fam03_rf_ck20	session_07d84ac2	173	ok
fr_s1_th_d3_fam03_rf_ck21	session_6f00802c	28	ok
fr_s1_th_d3_fam03_rf_ck30	session_fd20ede4	236	ok
fr_s1_th_d3_fam03_rf_ck40	session_7976596e	465	ok
fr_s1_th_d3_fam04_fr_ck20	session_99da3bba	194	ok
fr_s1_th_d3_fam04_fr_ck21	session_62e06961	36	ok
fr_s1_th_d3_fam04_fr_ck30	session_5aac5f24	222	ok
fr_s1_th_d3_fam04_fr_ck40	session_b8e33cbf	441	ok
fr_s1_th_d3_fam04_rf_ck20	session_80862bd9	186	ok
fr_s1_th_d3_fam04_rf_ck21	session_84347af2	32	ok
fr_s1_th_d3_fam04_rf_ck30	session_9782d60d	254	ok
fr_s1_th_d3_fam04_rf_ck40	session_c358a5dd	488	ok
fr_s1_th_d3_fam05_fr_ck20	session_51d2a95c	176	ok
fr_s1_th_d3_fam05_fr_ck21	session_a028feae	32	ok
fr_s1_th_d3_fam05_fr_ck30	session_a12e429b	218	ok
fr_s1_th_d3_fam05_fr_ck40	session_bd77edbd	412	ok
fr_s1_th_d3_fam05_rf_ck20	session_e3c1c248	168	ok
fr_s1_th_d3_fam05_rf_ck21	session_b0a95e56	34	ok
fr_s1_th_d3_fam05_rf_ck30	session_8d35fc96	228	ok
fr_s1_th_d3_fam05_rf_ck40	session_125c25d7	433	ok
fr_s1_th_d3_fam06_fr_ck20	session_0fd4d495	189	ok
fr_s1_th_d3_fam06_fr_ck21	session_4b8227f5	32	ok
fr_s1_th_d3_fam06_fr_ck30	session_6bac3de5	226	ok
fr_s1_th_d3_fam06_fr_ck40	session_df1ba004	434	ok
fr_s1_th_d3_fam06_rf_ck20	session_982eb91b	177	ok
fr_s1_th_d3_fam06_rf_ck21	session_463ebe81	26	ok
fr_s1_th_d3_fam06_rf_ck30	session_4489a738	226	ok
fr_s1_th_d3_fam06_rf_ck40	session_803ecc1c	458	ok
fr_s1_th_d3_fam07_fr_ck20	session_04c66b2c	168	ok
fr_s1_th_d3_fam07_fr_ck21	session_37572483	29	ok
fr_s1_th_d3_fam07_fr_ck30	session_d2cbfabb	220	ok
fr_s1_th_d3_fam07_fr_ck40	session_373304ef	422	ok
fr_s1_th_d3_fam07_rf_ck20	session_216ef30f	170	ok
fr_s1_th_d3_fam07_rf_ck21	session_17369e03	30	ok
fr_s1_th_d3_fam07_rf_ck30	session_7c297f34	217	ok
fr_s1_th_d3_fam07_rf_ck40	session_e93b7b2a	419	ok
fr_s1_th_d3_fam08_fr_ck20	session_e8b0a021	195	ok
fr_s1_th_d3_fam08_fr_ck21	session_7274067c	32	ok
