run	session	probes	rows_ok	status
fr_s1_th_d3_fam00_fr	session_9291aa17	40	OK	ok
fr_s1_th_d3_fam00_rf	session_32680521	40	OK	ok
fr_s1_ar_d3_fam00_fr	session_88898af3	40	OK	ok
fr_s1_ar_d3_fam00_rf	session_61203a74	40	OK	ok
fr_s1_th_d3_fam01_fr	session_a9ee3b37	40	OK	ok
fr_s1_th_d3_fam01_rf	session_3aa22a60	40	OK	ok
fr_s1_ar_d3_fam01_fr	session_660fbf32	40	OK	ok
fr_s1_ar_d3_fam01_rf	session_6a000522	40	OK	ok
fr_s1_th_d3_fam02_fr	session_f52c4d49	40	OK	ok
fr_s1_th_d3_fam02_rf	session_2d5f5875	40	OK	ok
fr_s1_ar_d3_fam02_fr	session_5af064dc	40	OK	ok
fr_s1_ar_d3_fam02_rf	session_9307cbe5	40	OK	ok
fr_s1_th_d3_fam03_fr	session_132b2fd4	40	OK	ok
fr_s1_th_d3_fam03_rf	session_80a4655b	40	OK	ok
fr_s1_ar_d3_fam03_fr	session_8d95ff4c	40	OK	ok
fr_s1_ar_d3_fam03_rf	session_8dfc7dbd	40	OK	ok
fr_s1_th_d3_fam04_fr	session_8def50da	40	OK	ok
fr_s1_th_d3_fam04_rf	session_7543c046	40	OK	ok
fr_s1_ar_d3_fam04_fr	session_50191998	40	OK	ok
fr_s1_ar_d3_fam04_rf	session_afa62d60	40	OK	ok
fr_s1_th_d3_fam05_fr	session_31bf13e3	40	OK	ok
fr_s1_th_d3_fam05_rf	session_4b69bf69	40	OK	ok
fr_s1_ar_d3_fam05_fr	session_e611cb87	40	OK	ok
fr_s1_ar_d3_fam05_rf	session_cb76012b	40	OK	ok
fr_s1_th_d3_fam06_fr	session_23569304	40	OK	ok
fr_s1_th_d3_fam06_rf	session_4f22fad9	40	OK	ok
fr_s1_ar_d3_fam06_fr	session_b312dfcf	40	OK	ok
fr_s1_ar_d3_fam06_rf	session_0ec27496	40	OK	ok
fr_s1_th_d3_fam07_fr	session_aee18760	40	OK	ok
fr_s1_th_d3_fam07_rf	session_b018b29b	40	OK	ok
fr_s1_ar_d3_fam07_fr	session_8de42418	40	OK	ok
fr_s1_ar_d3_fam07_rf	session_7355ea3e	40	OK	ok
fr_s1_th_d3_fam08_fr	session_cb4cd4b0	40	OK	ok
fr_s1_th_d3_fam08_rf	session_f8d10db6	40	OK	ok
fr_s1_ar_d3_fam08_fr	session_0e718ba2	40	OK	ok
fr_s1_ar_d3_fam08_rf	session_49fdf3f2	40	OK	ok
fr_s1_th_d3_fam09_fr	session_4b3eb5b1	40	OK	ok
fr_s1_th_d3_fam09_rf	session_7d4337c9	40	OK	ok
fr_s1_ar_d3_fam09_fr	session_4d0db69a	40	OK	ok
fr_s1_ar_d3_fam09_rf	session_4912f26e	40	OK	ok
fr_s1_th_d3_fam10_fr	session_fdee2ac2	40	OK	ok
fr_s1_th_d3_fam10_rf	session_0ca09798	40	OK	ok
fr_s1_ar_d3_fam10_fr	session_b87cfbed	40	OK	ok
fr_s1_ar_d3_fam10_rf	session_1e78ceb8	40	OK	ok
fr_s1_th_d3_fam11_fr	session_b942be16	40	OK	ok
fr_s1_th_d3_fam11_rf	session_4b71472c	40	OK	ok
fr_s1_ar_d3_fam11_fr	session_946a5434	40	OK	ok
fr_s1_ar_d3_fam11_rf	session_a8a84b43	40	OK	ok
fr_s2_th_d3_fam00_fr	session_d2521d60	40	OK	ok
fr_s2_th_d3_fam00_rf	session_52d44cc1	40	OK	ok
fr_s2_th_d3_fam01_fr	session_b7e93dd3	40	OK	ok
fr_s2_th_d3_fam01_rf	session_dcf66739	40	OK	ok
fr_s2_th_d3_fam02_fr	session_3e8d7540	40	OK	ok
fr_s2_th_d3_fam02_rf	session_41ad6a6e	40	OK	ok
fr_s2_th_d3_fam03_fr	session_37dfd58b	40	OK	ok
fr_s2_th_d3_fam03_rf	session_364edbce	40	OK	ok
fr_s3_th_d3_fam00_fr	session_5ab8bb27	40	OK	ok
fr_s3_th_d3_fam00_rf	session_04a90143	40	OK	ok
