set	session	positions	status
tank_d3_fam00_ab_ck21	session_3ff79df3	29	ok
tank_d3_fam00_ba_ck21	session_c4af7577	31	ok
tank_d4_fam00_a_ck21	session_1aaa9f1c	35	ok
tank_d4_fam00_b_ck21	session_7d6798db	34	ok
tank_d3_fam00_ab_ck20	session_5d8d8b41	0	err
tank_d3_fam00_ab_ck30	session_7d2b6ab1	0	err
tank_d3_fam00_ab_ck40	session_70e73f30	0	err
tank_d3_fam00_ba_ck20	session_16978342	0	err
tank_d3_fam00_ba_ck30	session_69e83082	0	err
tank_d3_fam00_ba_ck40	session_12bd2d71	0	err
tank_d4_fam00_a_ck20	session_df5173f9	0	err
tank_d4_fam00_a_ck30	session_8406ad99	0	err
tank_d4_fam00_a_ck40	session_d344cc23	0	err
tank_d4_fam00_b_ck20	session_501cca32	0	err
tank_d4_fam00_b_ck30	session_0cb0fa1f	0	err
tank_d4_fam00_b_ck40	session_be9b721d	0	err
tank_d3_fam01_ab_ck20	session_4ab3b54c	0	err
tank_d3_fam01_ab_ck21	session_20505611	29	ok
tank_d3_fam01_ab_ck30	session_d36b9f1a	0	err
tank_d3_fam01_ab_ck40	session_0713feb4	0	err
tank_d3_fam01_ba_ck20	ERR	0	err
