Computing basin axes...
  target/want (token_position=1): axis length=4.850
  letter (token_position=8): axis length=15.575

=== Basin projection at WANT (target token_position=1) ===
0 = fictional basin, 1 = distress basin

pos |                   fic_then_real (3 reps) |                   real_then_fic (3 reps)
----------------------------------------------------------------------------------------------------
  1 | mean=+0.07 std=0.12 (+0.04,+0.22,-0.06) | mean=+1.26 std=0.08 (+1.34,+1.30,+1.14)
  2 | mean=-0.02 std=0.02 (-0.01,-0.05,-0.02) | mean=+0.68 std=0.06 (+0.72,+0.60,+0.73)
  3 | mean=+0.06 std=0.04 (+0.03,+0.03,+0.12) | mean=+0.44 std=0.10 (+0.58,+0.39,+0.36)
  4 | mean=-0.05 std=0.06 (-0.12,+0.03,-0.04) | mean=+0.43 std=0.19 (+0.25,+0.69,+0.36)
  5 | mean=+0.17 std=0.04 (+0.12,+0.16,+0.23) | mean=+0.23 std=0.21 (-0.03,+0.47,+0.26)
  6 | mean=-0.04 std=0.20 (+0.09,-0.33,+0.11) | mean=+0.30 std=0.31 (+0.64,+0.35,-0.10)
  7 | mean=+0.13 std=0.05 (+0.06,+0.18,+0.16) | mean=+0.16 std=0.18 (+0.30,-0.09,+0.28)
  8 | mean=+0.07 std=0.25 (-0.28,+0.25,+0.25) | mean=+0.09 std=0.31 (-0.34,+0.37,+0.23)
  9 | mean=+0.11 std=0.07 (+0.03,+0.19,+0.10) | mean=+0.20 std=0.36 (+0.35,+0.54,-0.29)
 10 | mean=+0.19 std=0.12 (+0.03,+0.24,+0.30) | mean=+0.19 std=0.18 (+0.28,+0.35,-0.06)
 11 | mean=-0.14 std=0.23 (+0.16,-0.18,-0.40) | mean=+0.31 std=0.04 (+0.29,+0.28,+0.36)
 12 | mean=+0.23 std=0.11 (+0.22,+0.37,+0.11) | mean=+0.24 std=0.12 (+0.41,+0.12,+0.20)
 13 | mean=+0.07 std=0.07 (+0.10,-0.02,+0.14) | mean=+0.29 std=0.06 (+0.32,+0.21,+0.34)
 14 | mean=+0.19 std=0.05 (+0.21,+0.24,+0.12) | mean=+0.35 std=0.14 (+0.18,+0.36,+0.52)
 15 | mean=+0.21 std=0.04 (+0.17,+0.27,+0.21) | mean=+0.35 std=0.14 (+0.26,+0.25,+0.55)
 16 | mean=+0.23 std=0.10 (+0.12,+0.22,+0.37) | mean=+0.08 std=0.24 (+0.31,+0.18,-0.25)
 17 | mean=+0.19 std=0.08 (+0.08,+0.23,+0.25) | mean=+0.31 std=0.02 (+0.30,+0.28,+0.33)
 18 | mean=+0.22 std=0.06 (+0.15,+0.29,+0.22) | mean=+0.53 std=0.26 (+0.85,+0.21,+0.54)
 19 | mean=+0.12 std=0.18 (+0.29,-0.12,+0.21) | mean=+0.48 std=0.16 (+0.26,+0.63,+0.54)
 20 | mean=+0.21 std=0.07 (+0.12,+0.29,+0.23) | mean=+0.14 std=0.20 (+0.16,+0.38,-0.11)
