ord	dir	run_id	new_session	probes	regime_boundary	status
0	block_ba	temporal_smoke_with_gen_001	session_0f52c7b0	40	20	ok_smoke
0	block_ab	temporal_05d2d64d	session_10c175ba	40	20	ok
1	block_ba	temporal_f196f60b	session_7dcb58e6	40	20	ok
1	block_ab	temporal_d87af463	session_16971c9a	40	20	ok
2	block_ba	temporal_e39104c5	session_bcd9aaf6	40	20	ok
2	block_ab	temporal_6298b66c	session_88bcbe3b	40	20	ok
3	block_ba	temporal_0a2a35e8	session_8ffd7031	40	20	ok
3	block_ab	temporal_paper_gen_suicide_ord3_block_ab	session_3c758704	40	20	ok_recovered
4	block_ba	temporal_6654117a	session_8f3e3035	40	20	ok
4	block_ab	temporal_7e06b9f7	session_f5c8b7c3	40	20	ok
5	block_ba	temporal_1bf088e5	session_ea3720ca	40	20	ok
5	block_ab	temporal_22b888d6	session_444451f1	40	20	ok
6	block_ba	temporal_d8493002	session_661fdfdf	40	20	ok
6	block_ab	temporal_9c527457	session_8d84c6c7	40	20	ok
7	block_ba	temporal_c38bc221	session_5efa04f2	40	20	ok
7	block_ab	temporal_6b14b1c0	session_c8d5b097	40	20	ok
8	block_ba	temporal_78614a48	session_2246a818	40	20	ok
8	block_ab	temporal_94cfb072	session_5f3767fa	40	20	ok
9	block_ba	temporal_232813bc	session_ca821f23	40	20	ok
9	block_ab	temporal_e704df87	session_48b192a1	40	20	ok
