ord	dir	sequence_config	run_id	new_session	probes	regime_boundary	status
0	block_ab	block_ab	temporal_21782ac0	session_de66394e	40	20	ok
0	block_ba	block_ba	temporal_8b53763e	session_37244b34	40	20	ok
1	block_ab	block_ab	temporal_3dc54d70	session_26d8f61c	40	20	ok
1	block_ba	block_ba	temporal_37f308fc	session_3b0f4af5	40	20	ok
2	block_ab	block_ab	temporal_273aba52	session_8e6f5331	40	20	ok
2	block_ba	block_ba	temporal_b2f1ceef	session_7a0af3f2	40	20	ok
3	block_ab	block_ab	temporal_57b66ee1	session_fb40bfb8	40	20	ok
3	block_ba	block_ba	temporal_7fe4f099	session_21a46973	40	20	ok
4	block_ab	block_ab	temporal_b807f7a1	session_e17b7153	40	20	ok
4	block_ba	block_ba	temporal_bef340ce	session_6ab9e3d7	40	20	ok
5	block_ab	block_ab	temporal_7983bf1a	session_ec039f82	40	20	ok
5	block_ba	block_ba	temporal_9b08de82	session_94bdfd98	40	20	ok
6	block_ab	block_ab	temporal_e288fd0a	session_91166e14	40	20	ok
6	block_ba	block_ba	temporal_5db790fd	session_f1f4c0aa	40	20	ok
7	block_ab	block_ab	temporal_997ee63c	session_72682401	40	20	ok
7	block_ba	block_ba	temporal_79123806	session_cdf34000	40	20	ok
8	block_ab	block_ab	temporal_f250b699	session_68498ea3	40	20	ok
8	block_ba	block_ba	temporal_fe111810	session_8a9b7355	40	20	ok
9	block_ab	block_ab	temporal_d19b2a8e	session_02b75d56	40	20	ok
9	block_ba	block_ba	temporal_47d1dc33	session_037b4f6a	40	20	ok
